"Subgroup","v01","v02","v03","v04","v05","v06","v07","v08","v09","v10","v11","v12","v13","v14","v15","v16","v17","v18","v19","v20","v21","v22","v23","v24","v25","v26","v27","v28","v29","v30","v31","v32","v33","v34","v35","v36","v37","v38","v39","v40","v41","v42","v43","v44","v45","v46","v47","v48","v49","v50","v51","v52","v53","v54","v55","v56","v57","v58","v59","v60"
"2b2",0.498820219496453,0.555318825048419,0.667018954163979,0.732262194964492,0.815977830858616,0.669927424144612,0.264396630083926,0.981448366688171,0.322638773402197,0.051110858618464,0.15772117495158,0.0129498127824403,0.0489695029050999,0.0860418979987094,0.0311198837959974,0.0672565397030343,0.0917578566817307,0.277072627501612,0.991029748224648,0.0627775468043903,0.85799987088444,0.873682427372494,0.235845693996128,0.716111413815366,0.877886494512589,0.654989438347323,0.717954009038089,0.767629838605549,0.783281601032923,0.929004841833441,0.0288350548741124,0.969306003873463,0.79898193673338,0.806061200774697,0.613557366042608,0.318106752743704,0.941066610716597,0.595515881213688,0.563589954809553,0.964050006455782,0.295583821820531,0.760235855390577,0.688864544867659,0.877866571981924,0.802366442866372,0.68647785668173,0.797636526791478,0.766141136216917,0.93351953518399,0.433701265332473,0.623547165913492,0.686361730148486,0.619038928340866,0.554996100710134,0.582555222724341,0.533676914138153,0.474175416397672,0.446562633957389,0.511508431245963,0.29293805035507
"2c1",0.512641721854305,0.423045632292652,0.571622485020499,0.674246736045411,0.807440271207823,0.755986849574268,0.557214222642699,0.978731567328918,0.341417502365185,0.058091390728477,0.149778240302744,0.0132844528539893,0.054866256701356,0.0692956165247555,0.0265727846105329,0.0704252917060865,0.0706635130873542,0.200056543677074,0.992739514348782,0.0974186376537369,0.826556732891831,0.88888397981709,0.222971838536739,0.688364206874803,0.856023178807946,0.660435162409334,0.790216619362976,0.751301324503311,0.692260832544939,0.894217313150424,0.544945127719963,0.962859728792178,0.754196877956482,0.71441807000946,0.605287984862821,0.652897350993378,0.937936266162095,0.391756102175969,0.654613181961527,0.959962661620939,0.291641816461684,0.821669221065911,0.679431125827815,0.823389624724061,0.783373509933774,0.633447902869757,0.796731945758436,0.772526994638914,0.929669378744874,0.393590097760959,0.632343897824031,0.689203784295175,0.608493598233997,0.537589624724063,0.568916367076632,0.527940491958375,0.464127373068433,0.405673793755913,0.501792715231788,0.271567644276253
"2c2",0.545051285490722,0.465505641254931,0.594178485729198,0.698855816379762,0.826524405693425,0.748393240927034,0.416340457560177,0.980751725165819,0.311141247484916,0.0532677099634844,0.138953349727996,0.0126569640062598,0.0520450927788958,0.0668349504434018,0.0306413592667114,0.0629019450033535,0.0647720172889193,0.187799701915194,0.992953215589843,0.0764712273641852,0.839541873463003,0.887091564200017,0.220228169014085,0.694456248602729,0.871456762799023,0.673091444966093,0.79358956703183,0.753475340934505,0.700443691780313,0.892279506669645,0.0117177136895447,0.970154996646542,0.717885960205677,0.730627461062673,0.599183754378123,0.683824554735822,0.942215068186907,0.396296005663614,0.632725732170803,0.955664036068266,0.292693434682169,0.775857433489816,0.700857761383111,0.816577725612943,0.80066724793203,0.64686060064088,0.803557865712799,0.766207124226853,0.932552418212981,0.402841769133317,0.609126738207022,0.692296057828452,0.618375489976897,0.556255428869512,0.567471294433267,0.518295960950895,0.474587383560628,0.415955466130116,0.491796594381101,0.289506513153
"3a1",0.648798102678571,0.207442075892857,0.22988359375,0.707840736607143,0.458844754464287,0.271741517857143,0.0770839285714286,0.874500111607144,0.574207924107142,0.204523660714286,0.399838950892857,0.0850978794642856,0.440566629464285,0.365744866071428,0.19497578125,0.314368973214286,0.411064508928572,0.451861495535715,0.925108816964285,0.238636049107143,0.890541517857142,0.750979129464287,0.563055022321429,0.967795312500001,0.479240401785714,0.338971763392858,0.8195515625,0.687055468749998,0.470261941964285,0.799297879464285,0.691890624999999,0.660035714285714,0.21287265625,0.33041640625,0.464189620535714,0.923411049107141,0.642809486607143,0.557295424107143,0.894499776785714,0.810419308035713,0.639840066964286,0.748906473214285,0.407018191964286,0.53676171875,0.566445089285714,0.830051785714287,0.791901004464286,0.854298660714286,0.858718526785713,0.926257812500001,0.43958046875,0.717268638392857,0.604383147321428,0.466173660714285,0.338149888392857,0.509308705357143,0.615692075892858,0.289573102678572,0.635026897321429,0.231243526785714
"3a2",0.675249999999999,0.277683658969805,0.195048756660746,0.91473410301954,0.593026021314389,0.267366163410302,0.0568030195381882,0.841423090586146,0.646163321492007,0.235275932504441,0.385894404973358,0.0590792184724689,0.412334724689165,0.375109769094139,0.157396802841918,0.285687388987566,0.350368561278863,0.392054440497336,0.934269182948491,0.238923889875666,0.897459591474246,0.764081261101243,0.578817761989343,0.942946092362344,0.618470959147425,0.450834635879219,0.844155861456482,0.790577175843694,0.37620754884547,0.788998579040853,0.0598526642984014,0.815440674955596,0.0500222024866785,0.0654303730017763,0.0945579928952043,0.996160834813498,0.685967673179397,0.3680986678508,0.925653019538188,0.764181438721136,0.606318827708703,0.675250444049732,0.40075541740675,0.406065541740674,0.62701269982238,0.606586145648312,0.924810479573712,0.672047868561278,0.954713410301952,0.693002841918295,0.534491918294848,0.79590106571936,0.674272024866785,0.490223445825932,0.345807193605684,0.367865630550622,0.484120870337478,0.203765541740675,0.48295808170515,0.358093161634103
"3a3",0.654791447014526,0.402409144701452,0.357747175901022,0.864535395373856,0.76829386767079,0.548888864981173,0.226702044109736,0.909910704679935,0.578728509951586,0.13853803119957,0.303085207100593,0.0447163528778913,0.230149327595482,0.255441635287789,0.175672081764389,0.200322592791823,0.243834427111351,0.229107530930608,0.964743625605166,0.325994405594405,0.879511834319528,0.807161807423347,0.510369445938677,0.895926465841852,0.672240935987089,0.634315384615385,0.870300000000001,0.729265680473375,0.521392092522864,0.779985529854759,0.0795327595481442,0.888431091984939,0.112865626681011,0.152121247982786,0.213306562668101,0.986601990317374,0.768375255513716,0.570178590640127,0.853354706831627,0.766561753630985,0.679669607315759,0.76229300699301,0.532881387842926,0.468324959655727,0.777777891339432,0.609624314147391,0.844626788596021,0.733444647660032,0.940357342657342,0.63389677245831,0.476611135018825,0.700929747175901,0.623703442711134,0.532706455083377,0.488117912856374,0.493154222700375,0.548366594943517,0.354860301237224,0.605555997848306,0.453942657342658
"3a4",0.669426019417476,0.411738511326861,0.346494627831715,0.870124401294499,0.776450161812296,0.561139805825242,0.244224077669903,0.934159805825243,0.500969190938511,0.127903106796117,0.234089967637541,0.0185235598705502,0.197881618122977,0.179763754045307,0.109712621359223,0.131579546925566,0.141572362459547,0.219275404530744,0.979352362459546,0.1667,0.894880582524271,0.811244401294499,0.398500323624595,0.888450032362458,0.711340711974109,0.579901359223301,0.83632077669903,0.784430291262136,0.540336763754046,0.790678576051778,0.0348920388349514,0.890304983818772,0.0998133980582525,0.128097734627832,0.196855533980583,0.986983236245953,0.867,0.189442200647249,0.839364271844658,0.845173462783172,0.587662006472491,0.689517087378642,0.535617475728155,0.576161100323623,0.743346925566343,0.549129708737863,0.906052427184466,0.693141100323624,0.952250355987056,0.624826019417476,0.54108491909385,0.79056705501618,0.674064530744337,0.523949385113269,0.384220453074433,0.395816440129449,0.472919676375403,0.211896310679612,0.465977669902911,0.333466019417476
"3b1",0.665061140550089,0.55698485995458,0.592219051223822,0.825570123643705,0.75822816048448,0.488941155690135,0.158183219782993,0.834200958869544,0.661134115569011,0.306394549583647,0.575207746656571,0.205576053494827,0.213049053747162,0.303446379005805,0.183586802927075,0.339423694171083,0.636713651274288,0.534386045924803,0.881392455210699,0.437188291698208,0.798738051980823,0.826427378248801,0.668988039364119,0.859860661115317,0.749370804945751,0.662000428967955,0.822309487761796,0.694110648498613,0.706049533181934,0.815808099924299,0.0710055765833964,0.935140928589452,0.134387257128438,0.234506863487256,0.324756977037597,0.979335705273781,0.700748422911936,0.769520691395407,0.794818470855411,0.774253797628057,0.695002195306588,0.763675624526878,0.591696366389097,0.44287776936664,0.726832576331061,0.6258555892001,0.850425813777443,0.755396896290688,0.935678021700731,0.541965455463032,0.558138733282867,0.713146454706029,0.629487988897298,0.498135755740602,0.477191496341158,0.536965203128943,0.488321271763817,0.426749810749433,0.584757305071916,0.494445369669441
"3b2",0.698497279651797,0.587848385926731,0.655475843307943,0.785676387377583,0.78525455204933,0.52471204207472,0.173593942691331,0.847826332970621,0.569028472977874,0.284809865796154,0.65915324628219,0.289013166485309,0.190745665578528,0.198739318099384,0.171159412404788,0.334445012694957,0.725964163946319,0.495957453754081,0.825883859267319,0.496621653971709,0.739859920203119,0.823600834240116,0.721984076895176,0.850403119332612,0.746278418570909,0.697880594849475,0.811608922742113,0.544185128763148,0.754307326804496,0.828651976786362,0.0265802684076895,0.959668335146898,0.0686402248821181,0.100671998549148,0.142016938701487,0.994139717083782,0.558047733043164,0.927253681537905,0.610269205658325,0.738205803409502,0.736271454479506,0.786272687704028,0.626988864708014,0.383911244105911,0.770162749365252,0.623476278563655,0.787118171926007,0.805153028654335,0.91143482045702,0.573787558940879,0.462573630758072,0.625258287994198,0.565817918026844,0.493343090315561,0.484318679724339,0.59833721436344,0.533749474066014,0.488826949582881,0.6600011606819,0.555078200943055
"3c1",0.683467018469656,0.517477528583992,0.472767590149516,0.882376912928761,0.695032409850483,0.399926517150395,0.113625945470536,0.77430756376429,0.72331437994723,0.399957124010553,0.477584168865436,0.125121943711521,0.388492392260333,0.439265259454706,0.17071147757256,0.388647361477571,0.417741600703606,0.538201583113457,0.90546508355321,0.271043579595426,0.838057211961302,0.799815259454706,0.654392304309587,0.866058443271769,0.775793667546174,0.560889973614777,0.818943227792436,0.814976253298155,0.634508003518029,0.806021547933155,0.0315153034300791,0.898802594547055,0.0741659630606861,0.10801380826737,0.184041600703606,0.992395690413368,0.788767985927881,0.460477352682497,0.871822339489887,0.819329507475811,0.588904969217238,0.675481706244504,0.488007036059806,0.382386235708002,0.55287295514512,0.567279067722076,0.949238126649079,0.647025989445909,0.965524450307827,0.502207299912049,0.679472559366756,0.817247185576077,0.6834281882146,0.449974890061565,0.299839006156552,0.338919876868952,0.334815215479332,0.1943,0.319509454705365,0.386417370272647
