"Group","v01","v02","v03","v04","v05","v06","v07","v08","v09","v10","v11","v12","v13","v14","v15","v16","v17","v18","v19","v20","v21","v22","v23","v24","v25","v26","v27","v28","v29","v30","v31","v32","v33","v34","v35","v36","v37","v38","v39","v40","v41","v42","v43","v44","v45","v46","v47","v48","v49","v50","v51","v52","v53","v54","v55","v56","v57","v58","v59","v60"
"4b",0.625265883436996,0.581393354065883,0.672138401290026,0.783684139599168,0.774943607463716,0.562284243261923,0.211825466482379,0.861264466712737,0.61625308684635,0.220131835982491,0.501714052061738,0.162319016355677,0.146078829762727,0.505162762036398,0.427127447592721,0.416049930891499,0.548181524994238,0.484489449435615,0.873304710896105,0.438267161944252,0.738664409122322,0.828988723796358,0.743153317208017,0.785516574521998,0.840639046302695,0.626133978346001,0.726501681640174,0.658830972126238,0.779538332181526,0.887894978115643,0.0439894955079474,0.959944655609306,0.444608799815707,0.756556588343701,0.726084554250174,0.613456346463946,0.87442577747063,0.563699827228751,0.743888735314443,0.907983206634418,0.578398997926747,0.742998905782084,0.64090528680027,0.74545601243953,0.765310688781393,0.644999159179909,0.805537099746603,0.768781329186822,0.931573266528449,0.539475996314214,0.547602476387924,0.671310873070721,0.581862128541809,0.533248813637408,0.544995934116564,0.544426330338631,0.518144736235891,0.515927228749136,0.608453271135681,0.434897707901411
"4c",0.650034833061891,0.619108265472314,0.719911054560261,0.774720622964171,0.752821213355048,0.528264067589576,0.181919136807817,0.834857654723126,0.515142243485344,0.105553257328991,0.413791062703581,0.383922943811076,0.0502005089576547,0.482774165309447,0.74527573289902,0.37765348127036,0.422780109934852,0.347586359934853,0.667075122149836,0.604536359934856,0.507349633550488,0.662495215798048,0.914599491042347,0.758041347719869,0.871218566775243,0.575690675895766,0.686230191368079,0.551142080618895,0.810519605048857,0.920153440553743,0.0323639657980456,0.973751567589574,0.47603835504886,0.705469177524432,0.815762011400653,0.492867141693812,0.865814474755699,0.553429865635179,0.761147618078178,0.881874837133551,0.682658550488601,0.740896579804563,0.648949877850162,0.731830374592833,0.78059957247557,0.627616856677523,0.738610219869707,0.822552829804563,0.902228481270358,0.598330374592833,0.469267854234529,0.601429051302932,0.51374246742671,0.509050285016288,0.529860565960913,0.551028969869706,0.580350447882737,0.617608204397394,0.669171294788272,0.477289149022803
"5a",0.567508177619146,0.526843134579047,0.653454104555952,0.732832899433132,0.808603306739451,0.660899527608652,0.325900556372036,0.938869294562251,0.45851056057107,0.149080957379801,0.342592011337394,0.0561262544614736,0.181564917069072,0.383150745328574,0.198946294352295,0.22578609069914,0.246057138358178,0.407905710686539,0.955672433340335,0.162463142977115,0.814505542725175,0.857480631954652,0.556210371614527,0.711053254251521,0.883693239554905,0.59731183077892,0.729742420743227,0.737563993281544,0.771065893344533,0.897555028343482,0.0791857757715725,0.961553401217722,0.742081209321858,0.70979923367626,0.447230715935333,0.638151900062987,0.950578500944785,0.267403243753935,0.640820606760445,0.963088515641404,0.304345307579259,0.726454618937645,0.651900430401009,0.841828500944782,0.737382248582827,0.641185733781225,0.869777734621038,0.753218769682976,0.937769315557425,0.475012418643713,0.672595465043039,0.765836363636366,0.637905773672054,0.541938001259713,0.448196325845053,0.446575813562879,0.409257064875073,0.302123472601301,0.395906907411293,0.294252288473655
"5b",0.582401047943406,0.544433743777835,0.664812671382411,0.738866081564927,0.808388437691031,0.647843437254386,0.279066273687888,0.94436301633045,0.408704977731204,0.102334503536808,0.332374997816789,0.0842009518819319,0.145411483713212,0.448425683346433,0.285951558815824,0.229829621867086,0.290891232206792,0.381340913457338,0.93521218234215,0.203363225919134,0.787155680726577,0.851536721683695,0.616645070299535,0.705543795301721,0.891498131167583,0.584903990917823,0.681647174919221,0.733555855383812,0.786607222076679,0.924890856693736,0.0290851279364248,0.971836555759327,0.704155392542136,0.808164675574189,0.429526329578201,0.153449524059033,0.967779696096419,0.221813387477074,0.556627176665793,0.974331612959567,0.280459042878355,0.730150912584055,0.674323430268096,0.871962675748841,0.779853506244,0.670169592175354,0.82516431752686,0.757584481704656,0.936682866125227,0.472713754257267,0.621998497947776,0.726352528163479,0.624461243559513,0.572340738800103,0.517098428084886,0.49040268098856,0.472127036940005,0.419208890053267,0.469093336826476,0.306981722120343
"6a",0.607492029942753,0.59225561426684,0.691734705709669,0.763531087626594,0.786376765008069,0.597728658447085,0.224206597680906,0.949996301188904,0.491993461030381,0.11564466461177,0.368791604285926,0.0738675179803317,0.085453368560106,0.18638120504917,0.144663129311607,0.188589336562453,0.425347284602968,0.432986070747108,0.963015925436665,0.246577432848963,0.863351805372085,0.847600330250991,0.465794796712172,0.802795097607517,0.803825921033322,0.696192917950979,0.765846550711871,0.669435828563043,0.787698370761773,0.894635138705412,0.0259971598414795,0.97124747541465,0.385558953471301,0.764830794070158,0.757017481285776,0.601457757228828,0.829862307353588,0.796748877146631,0.619038573315717,0.903066578599735,0.50278567444591,0.801908403052987,0.692725473359752,0.736998818435344,0.817999765154848,0.658630933509459,0.726981594011448,0.775021356230741,0.929275121092026,0.483832738881547,0.503235615734622,0.601238463232054,0.558929128137382,0.53054369587553,0.577284793776602,0.599655731689416,0.542548319389401,0.542122530456479,0.639566211654191,0.434673088213712
"6b",0.606810428931876,0.552504597701148,0.62128753387534,0.774699271096156,0.800689580413049,0.629717792729651,0.254058873002524,0.956606373236142,0.5002241659658,0.101644893000653,0.192844977104942,0.0553548359966356,0.09355414447248,0.130950677506777,0.0850286234931319,0.156755677039531,0.157941491449396,0.324469358003923,0.981570442014763,0.232960414914494,0.872275263994023,0.847916923651994,0.379207018035699,0.798739846743297,0.797056751705447,0.719089655172415,0.813730268199236,0.727969470142977,0.729117876833945,0.87577426408747,0.0608299785066815,0.959620530791511,0.417023717409583,0.632878301093356,0.784620596205961,0.718217988972994,0.867055798523503,0.553234800485934,0.763101495187365,0.920514652836184,0.430696719932718,0.794564592094196,0.666538949630874,0.727789991589567,0.807245920941968,0.674588038501072,0.764347453509021,0.758850537332963,0.935687898327259,0.431879413138959,0.539468544995797,0.632836959162692,0.587926689094479,0.530588879543968,0.573231174656572,0.57212907204934,0.532325754602373,0.515503336136809,0.603497168488926,0.394511970843853
"6c",0.61858838028169,0.557895706497049,0.622592446615176,0.789463573375739,0.773941401635621,0.56989343480236,0.217090436165381,0.931313948205365,0.54432998636983,0.176973114493411,0.369653646069969,0.0669970127214898,0.157780224897773,0.261300999545661,0.119471694684234,0.226404202635167,0.356501919582006,0.463768332576099,0.960726260790546,0.19516543616538,0.868489311676515,0.832340561108586,0.486347387551116,0.803308280327121,0.815659302589732,0.641798194002729,0.76757923671059,0.751752873693773,0.749633905043164,0.870847376192642,0.0581475238527941,0.941532564743299,0.400965731485685,0.641271388005453,0.788001862789644,0.711353271240344,0.891543173557478,0.46353404134484,0.755760211267607,0.929057769195827,0.441214129940939,0.74160544070877,0.61370640617901,0.743214868241708,0.729438618809633,0.667855020445251,0.857534052703316,0.74283033848251,0.940420161290325,0.497083575647432,0.607558677873691,0.744819570649704,0.649406235801909,0.527796671967288,0.483299182189912,0.494781781008631,0.452899875056788,0.360492367105858,0.487217378464332,0.351032189913681
"7a",0.590317636409348,0.543839778727682,0.65023952728187,0.731201327633909,0.809315891375408,0.695783153130499,0.364750445059092,0.986565602212744,0.257911963791807,0.0328372491828011,0.0772143525270301,0.0103697108373145,0.0306343424691979,0.03492707568519,0.0265842393764144,0.0450390394769926,0.055083650993211,0.138871496102589,0.994835121951233,0.118130932863968,0.847431807895407,0.871502237867735,0.166230138295198,0.758022710585872,0.824639808901187,0.702133537842583,0.785371908473732,0.693374317324629,0.755217364847862,0.904323027407591,0.0290815287905456,0.975421146592914,0.431847136032193,0.772290661302491,0.777408262509428,0.593270022630113,0.861660326879559,0.776618335428713,0.53012848378174,0.921228674880567,0.446750958008547,0.823646507417623,0.719499748554177,0.726862348503911,0.837123510183549,0.614321724918275,0.659246266029669,0.77744001508677,0.927617953231093,0.441863791802867,0.455349746039736,0.53053972843852,0.529325325622323,0.536164344983649,0.613455479004259,0.60466910233843,0.558178259994965,0.563924908222268,0.636143726426949,0.442031179280863
"7b",0.590692664335665,0.561541979020966,0.674843433566431,0.739733741258744,0.802934692307694,0.664797678321675,0.287609769230771,0.984384174825186,0.296597132867137,0.0379994055944059,0.0943354335664328,0.0157483776223776,0.0319161888111889,0.0465456293706299,0.0354648461538464,0.0582091048951049,0.0828019510489513,0.187074797202797,0.992689895104903,0.112642909090909,0.860577209790215,0.863074244755245,0.198806447552449,0.767969706293711,0.829725678321681,0.685833944055942,0.748238874125879,0.708683370629373,0.780776685314681,0.922274496503499,0.0171848181818182,0.977659769230768,0.416238496503495,0.826687650349656,0.754014503496504,0.130353636363634,0.881057636363637,0.722773545454545,0.566039132867135,0.941214398601403,0.407143104895106,0.811698951048929,0.723911895104894,0.761304951048964,0.834399923076923,0.648291993006992,0.67706584615385,0.778284244755254,0.927879153846158,0.453021111888108,0.470757300699306,0.544150559440558,0.538183307692306,0.529965734265736,0.612504440559435,0.608856594405594,0.55770983916084,0.571264986013989,0.638974300699298,0.411493188811192
"8a",0.636258742463395,0.49527669250646,0.506595107665805,0.728466649440139,0.795861464254958,0.699893970714902,0.429133488372094,0.97314458225667,0.305067217915589,0.0408974332472007,0.16347850129199,0.0148942463393626,0.0647586391042204,0.0543919724375538,0.0680399655469423,0.0611368303186908,0.145318845822567,0.0848197760551251,0.989440430663218,0.264739293712317,0.820621808785528,0.879174298018951,0.235963996554694,0.805829543496985,0.697239414298021,0.766777553832907,0.87910556416882,0.556489147286824,0.625199827734711,0.80453223083549,0.0224984840654608,0.957546356589144,0.133518070628768,0.269128802756244,0.29915309216193,0.974339293712314,0.638830353143839,0.894383186907837,0.471872144702841,0.80518570198105,0.61042795865633,0.856695262704567,0.654393781223079,0.384261515934536,0.82294465116279,0.523734091300604,0.598977226528852,0.764852058570197,0.921815727820844,0.420496192937124,0.306524616709737,0.422124013781223,0.456587183462531,0.498241205857018,0.536514418604647,0.57701526270456,0.554682618432381,0.509871627906974,0.676072075796724,0.578582790697678
