"Geography_Code","NM_1566_1_0","NM_1566_1_1","NM_1566_1_2","NM_1566_1_3"
"N00000993",12,6,0,6
"N00000994",39,12,4,23
"N00000995",9,1,1,7
"N00000996",21,9,1,11
"N00000997",20,7,1,12
"N00000998",18,7,2,9
"N00000999",9,1,1,7
"N00001000",20,3,2,15
"N00001001",18,8,2,8
"N00001002",30,7,0,23
"N00001003",9,3,0,6
"N00001004",8,2,0,6
"N00001005",12,4,0,8
"N00001006",329,143,21,165
"N00001007",268,131,14,123
"N00001008",153,67,9,77
"N00001009",79,29,3,47
"N00001010",225,111,13,101
"N00001011",246,134,5,107
"N00001012",180,104,12,64
"N00001013",108,59,8,41
"N00001014",148,72,15,61
"N00001015",263,105,18,140
"N00001016",130,70,5,55
"N00001017",173,86,14,73
"N00001018",101,56,8,37
"N00001019",125,67,8,50
"N00001020",50,25,7,18
"N00001021",140,84,11,45
"N00001022",266,105,19,142
"N00001023",113,66,4,43
"N00001024",161,81,23,57
"N00001025",170,86,16,68
"N00001026",112,54,6,52
"N00001027",38,23,3,12
"N00001028",16,4,1,11
"N00001029",81,28,10,43
"N00001030",81,34,5,42
"N00001031",79,38,7,34
"N00001032",14,2,2,10
"N00001033",3,2,0,1
"N00001034",27,11,3,13
"N00001035",16,3,4,9
"N00001036",22,3,5,14
"N00001037",32,9,2,21
"N00001038",48,20,0,28
"N00001039",27,9,4,14
"N00001040",10,4,1,5
"N00001041",2,0,1,1
"N00001042",39,14,6,19
"N00001043",8,1,2,5
"N00001044",10,3,0,7
"N00001045",19,7,1,11
"N00001046",36,14,4,18
"N00001047",12,1,1,10
"N00001048",23,11,0,12
"N00001049",20,7,0,13
"N00001050",29,8,4,17
"N00001051",40,9,1,30
"N00001052",9,4,1,4
"N00001053",45,10,2,33
"N00001054",35,13,0,22
"N00001055",33,9,3,21
"N00001056",27,12,0,15
"N00001057",18,9,0,9
"N00001058",35,14,0,21
"N00001059",28,12,3,13
"N00001060",19,5,0,14
"N00001061",14,4,1,9
"N00001062",16,5,1,10
"N00001063",17,5,1,11
"N00001064",27,5,1,21
"N00001065",21,7,2,12
"N00001066",24,9,0,15
"N00001067",13,2,1,10
"N00001068",11,4,0,7
"N00001069",15,1,0,14
"N00001070",29,8,2,19
"N00001071",15,4,0,11
"N00001072",25,7,3,15
"N00001073",17,5,2,10
"N00001074",14,6,0,8
"N00001075",15,4,0,11
"N00001076",11,3,0,8
"N00001077",7,5,0,2
"N00001078",11,1,3,7
"N00001079",55,10,7,38
"N00001080",16,5,1,10
"N00001081",26,9,0,17
"N00001082",38,8,0,30
"N00001083",39,5,7,27
"N00001084",36,10,4,22
"N00001085",80,24,10,46
"N00001086",22,10,1,11
"N00001087",28,10,2,16
"N00001088",15,7,1,7
"N00001089",21,6,0,15
"N00001090",11,5,0,6
"N00001091",42,9,2,31
"N00001092",43,11,3,29
"N00001093",39,12,3,24
"N00001094",4,2,0,2
"N00001095",24,5,2,17
"N00001096",44,21,4,19
"N00001097",22,10,1,11
"N00001098",21,8,0,13
"N00001099",13,6,1,6
"N00001100",19,5,2,12
"N00001101",14,2,1,11
"N00001102",37,7,3,27
"N00001103",11,1,0,10
"N00001104",14,4,1,9
"N00001105",22,6,1,15
"N00001106",16,5,0,11
"N00001107",24,8,3,13
"N00001108",8,5,0,3
"N00001109",32,10,3,19
"N00001110",21,8,1,12
"N00001111",55,14,3,38
"N00001112",24,3,3,18
"N00001113",70,19,11,40
"N00001114",26,7,1,18
"N00001115",16,3,2,11
"N00001116",29,8,0,21
"N00001117",45,7,11,27
"N00001118",10,5,0,5
"N00001119",6,3,0,3
"N00001120",10,4,0,6
"N00001121",3,0,1,2
"N00001122",3,0,3,0
"N00001123",4,0,0,4
"N00001124",41,11,3,27
"N00001125",24,6,2,16
"N00001126",9,1,1,7
"N00001127",42,11,5,26
"N00001128",10,2,0,8
"N00001129",25,10,2,13
"N00001130",13,4,1,8
"N00001131",86,32,13,41
"N00001132",18,5,2,11
"N00001133",30,11,3,16
"N00001134",7,1,0,6
"N00001135",17,6,1,10
"N00001136",9,4,1,4
"N00001137",17,4,3,10
"N00001138",7,2,0,5
"N00001139",34,19,3,12
"N00001140",31,6,1,24
"N00001141",7,2,0,5
"N00001142",8,3,0,5
"N00001143",5,0,0,5
"N00001144",11,0,2,9
"N00001145",11,0,1,10
"N00001146",22,6,0,16
"N00001147",15,3,1,11
"N00001148",18,6,0,12
"N00001149",34,11,2,21
"N00001150",44,10,4,30
"N00001151",29,12,2,15
"N00001152",28,2,1,25
"N00001153",17,7,2,8
"N00001154",18,3,0,15
"N00001155",23,12,0,11
"N00001156",97,25,13,59
"N00001157",20,13,1,6
"N00001158",18,6,3,9
"N00001159",32,5,4,23
"N00001160",27,9,3,15
"N00001161",18,8,3,7
"N00001162",10,1,1,8
"N00001163",13,6,0,7
"N00001164",35,11,7,17
"N00001165",32,14,2,16
"N00001166",45,13,3,29
"N00001167",26,3,3,20
"N00001168",32,8,5,19
"N00001169",18,6,4,8
"N00001170",21,9,5,7
"N00001171",25,4,1,20
"N00001172",24,11,3,10
"N00001173",14,8,1,5
"N00001174",24,3,0,21
"N00001175",28,13,1,14
"N00001176",7,4,0,3
"N00001177",13,6,0,7
"N00001178",39,15,7,17
"N00001179",34,10,5,19
"N00001180",15,3,3,9
"N00001181",22,8,6,8
"N00001182",35,16,1,18
"N00001183",25,8,3,14
"N00001184",31,13,3,15
"N00001185",5,2,0,3
"N00001186",12,5,0,7
"N00001187",27,11,4,12
"N00001188",39,12,1,26
"N00001189",29,8,1,20
"N00001190",17,8,0,9
"N00001191",11,4,1,6
"N00001192",8,4,0,4
"N00001193",16,9,1,6
"N00001194",23,14,2,7
"N00001195",8,5,0,3
"N00001196",19,4,1,14
"N00001197",4,3,0,1
"N00001198",25,11,4,10
"N00001199",10,5,2,3
"N00001200",31,10,2,19
"N00001201",15,4,0,11
"N00001202",30,7,4,19
"N00001203",22,7,1,14
"N00001204",79,26,8,45
"N00001205",42,19,1,22
"N00001206",18,3,6,9
"N00001207",55,18,8,29
"N00001208",33,10,4,19
"N00001209",15,5,0,10
"N00001210",26,11,1,14
"N00001211",25,13,2,10
"N00001212",25,6,4,15
"N00001213",28,9,3,16
"N00001214",27,9,4,14
"N00001215",24,8,1,15
"N00001216",41,13,6,22
"N00001217",16,8,0,8
"N00001218",17,4,1,12
"N00001219",19,3,2,14
"N00001220",9,3,1,5
"N00001221",13,3,0,10
"N00001222",17,5,2,10
"N00001223",15,5,0,10
"N00001224",10,4,0,6
"N00001225",18,2,1,15
"N00001226",11,5,0,6
"N00001227",11,3,4,4
"N00001228",9,1,1,7
"N00001229",10,4,3,3
"N00001230",27,8,4,15
"N00001231",28,10,1,17
"N00001232",47,19,0,28
"N00001233",43,20,0,23
"N00001234",33,10,3,20
"N00001235",93,28,15,50
"N00001236",40,11,0,29
"N00001237",17,4,2,11
"N00001238",20,7,1,12
"N00001239",31,15,2,14
"N00001240",74,16,13,45
"N00001241",37,12,5,20
"N00001242",25,6,2,17
"N00001243",18,5,3,10
"N00001244",20,4,6,10
"N00001245",22,8,0,14
"N00001246",23,6,3,14
"N00001247",11,0,0,11
"N00001248",25,9,2,14
"N00001249",23,8,1,14
"N00001250",25,11,3,11
"N00001251",17,5,0,12
"N00001252",23,8,1,14
"N00001253",15,5,0,10
"N00001254",26,4,1,21
"N00001255",8,2,0,6
"N00001256",14,4,0,10
"N00001257",10,7,1,2
"N00001258",10,5,0,5
"N00001259",17,6,1,10
"N00001260",36,10,5,21
"N00001261",17,3,2,12
"N00001262",8,1,1,6
"N00001263",12,5,0,7
"N00001264",4,0,0,4
"N00001265",41,10,0,31
"N00001266",8,1,0,7
"N00001267",23,10,0,13
"N00001268",13,4,0,9
"N00001269",29,10,6,13
"N00001270",4,3,0,1
"N00001271",71,23,5,43
"N00001272",7,1,1,5
"N00001273",8,6,2,0
"N00001274",12,4,2,6
"N00001275",4,0,0,4
"N00001276",16,3,0,13
"N00001277",15,4,0,11
"N00001278",16,8,1,7
"N00001279",10,6,2,2
"N00001280",8,4,1,3
"N00001281",29,8,0,21
"N00001282",26,9,0,17
"N00001283",18,7,0,11
"N00001284",30,11,1,18
"N00001285",10,5,0,5
"N00001286",21,9,0,12
"N00001287",15,7,1,7
"N00001288",23,8,1,14
"N00001289",17,8,0,9
"N00001290",25,10,1,14
"N00001291",27,13,1,13
"N00001292",89,32,10,47
"N00001293",41,21,2,18
"N00001294",34,12,2,20
"N00001295",29,7,1,21
"N00001296",14,4,2,8
"N00001297",38,9,3,26
"N00001298",22,3,5,14
"N00001299",23,5,5,13
"N00001300",22,7,2,13
"N00001301",39,11,8,20
"N00001302",75,16,9,50
"N00001303",25,11,0,14
"N00001304",22,4,0,18
"N00001305",29,9,1,19
"N00001306",7,3,0,4
"N00001307",27,6,6,15
"N00001308",23,10,1,12
"N00001309",23,5,2,16
"N00001310",74,25,4,45
"N00001311",28,1,0,27
"N00001312",54,10,5,39
"N00001313",11,6,2,3
"N00001314",27,9,2,16
"N00001315",13,5,0,8
"N00001316",8,0,2,6
"N00001317",16,5,0,11
"N00001318",16,7,1,8
"N00001319",18,6,2,10
"N00001320",22,8,0,14
"N00001321",27,11,3,13
"N00001322",13,4,2,7
"N00001323",17,4,0,13
"N00001324",17,5,0,12
"N00001325",112,33,5,74
"N00001326",34,11,1,22
"N00001327",23,2,2,19
"N00001328",87,15,0,72
"N00001329",35,12,2,21
"N00001330",30,6,1,23
"N00001331",24,5,0,19
"N00001332",15,10,0,5
"N00001333",35,17,0,18
"N00001334",42,8,2,32
"N00001335",8,3,0,5
"N00001336",25,6,0,19
"N00001337",32,10,0,22
"N00001338",27,6,3,18
"N00001339",16,5,1,10
"N00001340",43,14,4,25
"N00001341",39,11,2,26
"N00001342",42,14,3,25
"N00001343",23,9,4,10
"N00001344",37,18,4,15
"N00001345",15,2,0,13
"N00001346",70,24,9,37
"N00001347",30,9,5,16
"N00001348",18,7,2,9
"N00001349",16,7,1,8
"N00001350",51,17,4,30
"N00001351",33,16,7,10
"N00001352",10,5,2,3
"N00001353",22,6,4,12
"N00001354",39,14,1,24
"N00001355",15,5,1,9
"N00001356",20,6,1,13
"N00001357",6,1,0,5
"N00001358",11,0,0,11
"N00001359",17,4,2,11
"N00001360",13,4,1,8
"N00001361",29,15,2,12
"N00001362",21,5,5,11
"N00001363",10,1,2,7
"N00001364",21,5,3,13
"N00001365",18,5,1,12
"N00001366",12,7,1,4
"N00001367",20,9,1,10
"N00001368",13,1,0,12
"N00001369",12,6,0,6
"N00001370",25,8,1,16
"N00001371",21,6,2,13
"N00001372",29,11,1,17
"N00001373",13,6,0,7
"N00001374",22,11,2,9
"N00001375",17,5,2,10
"N00001376",11,7,1,3
"N00001377",19,7,1,11
"N00001378",6,2,0,4
"N00001379",11,1,1,9
"N00001380",35,15,6,14
"N00001381",20,6,3,11
"N00001382",33,12,2,19
"N00001383",26,6,1,19
"N00001384",18,3,2,13
"N00001385",25,5,4,16
"N00001386",27,14,1,12
"N00001387",15,4,0,11
"N00001388",12,5,0,7
"N00001389",5,2,0,3
"N00001390",21,6,0,15
"N00001391",18,5,0,13
"N00001392",14,6,2,6
"N00001393",12,8,0,4
"N00001394",13,6,0,7
"N00001395",7,1,1,5
"N00001396",25,12,1,12
"N00001397",4,1,0,3
"N00001398",7,1,0,6
"N00001399",46,14,4,28
"N00001400",20,8,3,9
"N00001401",56,20,3,33
"N00001402",55,19,1,35
"N00001403",45,20,0,25
"N00001404",44,12,1,31
"N00001405",13,6,1,6
"N00001406",4,1,0,3
"N00001407",19,8,1,10
"N00001408",33,11,0,22
"N00001409",16,6,1,9
"N00001410",14,4,0,10
"N00001411",16,2,0,14
"N00001412",14,6,1,7
"N00001413",21,6,1,14
"N00001414",18,8,0,10
"N00001415",28,7,1,20
"N00001416",47,20,2,25
"N00001417",11,2,0,9
"N00001418",53,26,3,24
"N00001419",8,4,1,3
"N00001420",13,6,1,6
"N00001421",185,73,18,94
"N00001422",10,3,0,7
"N00001423",27,8,1,18
"N00001424",11,5,0,6
"N00001425",20,7,1,12
"N00001426",13,7,0,6
"N00001427",13,2,1,10
"N00001428",62,35,8,19
"N00001429",211,83,19,109
"N00001430",19,5,3,11
"N00001431",24,5,1,18
"N00001432",13,2,4,7
"N00001433",11,6,0,5
"N00001434",21,9,2,10
"N00001435",12,1,4,7
"N00001436",21,5,3,13
"N00001437",9,1,1,7
"N00001438",21,6,5,10
"N00001439",7,4,0,3
"N00001440",17,3,0,14
"N00001441",9,0,1,8
"N00001442",18,7,2,9
"N00001443",4,1,0,3
"N00001444",14,2,0,12
"N00001445",28,11,3,14
"N00001446",19,6,1,12
"N00001447",20,3,0,17
"N00001448",27,7,1,19
"N00001449",11,4,0,7
"N00001450",13,7,0,6
"N00001451",14,3,0,11
"N00001452",24,3,0,21
"N00001453",30,6,0,24
"N00001454",32,7,2,23
"N00001455",16,3,0,13
"N00001456",11,0,1,10
"N00001457",33,8,1,24
"N00001458",10,6,1,3
"N00001459",75,14,4,57
"N00001460",23,6,0,17
"N00001461",30,9,0,21
"N00001462",25,10,0,15
"N00001463",38,13,0,25
"N00001464",28,8,0,20
"N00001465",45,7,1,37
"N00001466",103,38,10,55
"N00001467",1246,460,164,622
"N00001468",145,64,10,71
"N00001469",95,57,6,32
"N00001470",200,105,3,92
"N00001471",370,181,16,173
"N00001472",302,110,33,159
"N00001473",44,15,5,24
"N00001474",20,3,2,15
"N00001475",38,18,0,20
"N00001476",28,14,1,13
"N00001477",23,9,1,13
"N00001478",30,14,0,16
"N00001479",37,15,4,18
"N00001480",14,7,0,7
"N00001481",17,5,0,12
"N00001482",18,8,1,9
"N00001483",8,3,1,4
"N00001484",5,0,1,4
"N00001485",7,4,0,3
"N00001486",21,5,0,16
"N00001487",14,3,1,10
"N00001488",22,14,0,8
"N00001489",19,12,0,7
"N00001490",8,0,0,8
"N00001491",12,3,0,9
"N00001492",6,1,0,5
"N00001493",7,0,0,7
"N00001494",11,6,0,5
"N00001495",23,12,1,10
"N00001496",7,5,0,2
"N00001497",7,6,0,1
"N00001498",17,4,2,11
"N00001499",27,9,2,16
"N00001500",5,2,0,3
"N00001501",22,8,1,13
"N00001502",20,6,1,13
"N00001503",8,3,0,5
"N00001504",13,2,3,8
"N00001505",32,15,6,11
"N00001506",7,2,1,4
"N00001507",8,5,0,3
"N00001508",25,12,1,12
"N00001509",16,4,1,11
"N00001510",14,7,0,7
"N00001511",70,28,6,36
"N00001512",20,6,4,10
"N00001513",9,4,1,4
"N00001514",15,2,1,12
"N00001515",28,9,1,18
"N00001516",16,5,0,11
"N00001517",19,3,0,16
"N00001518",28,3,2,23
"N00001519",24,9,2,13
"N00001520",19,4,2,13
"N00001521",6,3,0,3
"N00001522",31,12,3,16
"N00001523",17,1,6,10
"N00001524",16,4,0,12
"N00001525",8,2,1,5
"N00001526",15,0,2,13
"N00001527",16,6,1,9
"N00001528",17,4,2,11
"N00001529",21,5,3,13
"N00001530",31,13,2,16
"N00001531",23,2,3,18
"N00001532",36,11,5,20
"N00001533",45,12,7,26
"N00001534",28,2,7,19
"N00001535",38,8,6,24
"N00001536",32,12,4,16
"N00001537",23,6,3,14
"N00001538",36,17,4,15
"N00001539",32,8,6,18
"N00001540",38,13,3,22
"N00001541",26,6,5,15
"N00001542",25,6,3,16
"N00001543",30,7,1,22
"N00001544",28,8,2,18
"N00001545",18,5,2,11
"N00001546",46,21,10,15
"N00001547",20,8,2,10
"N00001548",12,2,3,7
"N00001549",32,6,3,23
"N00001550",10,2,0,8
"N00001551",44,7,1,36
"N00001552",39,17,5,17
"N00001553",14,2,5,7
"N00001554",20,7,2,11
"N00001555",14,5,3,6
"N00001556",19,4,2,13
"N00001557",25,5,0,20
"N00001558",18,2,2,14
"N00001559",12,2,0,10
"N00001560",19,5,1,13
"N00001561",17,7,1,9
"N00001562",13,5,1,7
"N00001563",6,0,2,4
"N00001564",25,9,0,16
"N00001565",30,5,4,21
"N00001566",36,4,2,30
"N00001567",24,9,1,14
"N00001568",22,6,2,14
"N00001569",10,1,1,8
"N00001570",91,23,9,59
"N00001571",36,8,0,28
"N00001572",38,8,1,29
"N00001573",33,5,7,21
"N00001574",23,5,2,16
"N00001575",21,2,5,14
"N00001576",45,17,4,24
"N00001577",31,4,3,24
"N00001578",25,7,0,18
"N00001579",88,36,7,45
"N00001580",58,22,2,34
"N00001581",27,6,0,21
"N00001582",30,11,1,18
"N00001583",47,21,2,24
"N00001584",25,15,2,8
"N00001585",266,107,16,143
"N00001586",56,21,5,30
"N00001587",101,37,7,57
"N00001588",83,37,8,38
"N00001589",95,32,7,56
"N00001590",144,74,12,58
"N00001591",139,63,4,72
"N00001592",85,27,6,52
"N00001593",225,86,9,130
"N00001594",169,49,4,116
"N00001595",138,60,12,66
"N00001596",238,78,10,150
"N00001597",99,25,6,68
"N00001598",197,98,20,79
"N00001599",244,92,3,149
"N00001600",115,50,8,57
"N00001601",107,45,6,56
"N00001602",123,46,4,73
"N00001603",112,47,7,58
"N00001604",12,4,2,6
"N00001605",11,5,0,6
"N00001606",9,1,1,7
"N00001607",12,6,1,5
"N00001608",7,3,0,4
"N00001609",9,1,1,7
"N00001610",10,2,2,6
"N00001611",11,3,1,7
"N00001612",18,6,0,12
"N00001613",40,12,3,25
"N00001614",14,5,0,9
"N00001615",11,5,1,5
"N00001616",16,7,2,7
"N00001617",10,3,0,7
"N00001618",21,7,4,10
"N00001619",7,3,0,4
"N00001620",23,10,1,12
"N00001621",13,6,5,2
"N00001622",25,6,2,17
"N00001623",12,2,0,10
"N00001624",3,1,0,2
"N00001625",11,3,0,8
"N00001626",9,1,2,6
"N00001627",10,3,0,7
"N00001628",16,4,0,12
"N00001629",10,6,2,2
"N00001630",12,6,0,6
"N00001631",18,4,3,11
"N00001632",15,8,0,7
"N00001633",7,1,2,4
"N00001634",9,3,0,6
"N00001635",15,6,1,8
"N00001636",7,3,0,4
"N00001637",13,4,1,8
"N00001638",6,0,1,5
"N00001639",7,1,0,6
"N00001640",10,3,2,5
"N00001641",10,4,0,6
"N00001642",20,2,2,16
"N00001643",28,4,1,23
"N00001644",29,9,1,19
"N00001645",16,4,1,11
"N00001646",5,3,0,2
"N00001647",16,4,1,11
"N00001648",14,5,0,9
"N00001649",51,16,6,29
"N00001650",15,6,2,7
"N00001651",29,6,3,20
"N00001652",43,16,6,21
"N00001653",46,20,4,22
"N00001654",25,9,0,16
"N00001655",17,5,2,10
"N00001656",10,4,2,4
"N00001657",12,1,1,10
"N00001658",5,1,1,3
"N00001659",10,4,1,5
"N00001660",19,6,2,11
"N00001661",18,8,1,9
"N00001662",23,7,1,15
"N00001663",22,9,1,12
"N00001664",33,12,7,14
"N00001665",22,5,3,14
"N00001666",37,12,0,25
"N00001667",28,11,3,14
"N00001668",27,9,0,18
"N00001669",30,13,6,11
"N00001670",13,3,3,7
"N00001671",22,4,1,17
"N00001672",10,5,0,5
"N00001673",35,12,6,17
"N00001674",6,0,0,6
"N00001675",20,6,3,11
"N00001676",17,3,0,14
"N00001677",40,13,4,23
"N00001678",41,19,3,19
"N00001679",26,9,4,13
"N00001680",29,6,2,21
"N00001681",9,4,1,4
"N00001682",24,3,5,16
"N00001683",21,5,1,15
"N00001684",65,26,1,38
"N00001685",42,11,5,26
"N00001686",16,5,1,10
"N00001687",34,7,7,20
"N00001688",20,7,4,9
"N00001689",4,0,0,4
"N00001690",28,7,3,18
"N00001691",12,4,0,8
"N00001692",10,0,0,10
"N00001693",15,8,1,6
"N00001694",33,12,4,17
"N00001695",42,16,1,25
"N00001696",19,10,1,8
"N00001697",16,6,1,9
"N00001698",22,6,2,14
"N00001699",28,12,2,14
"N00001700",10,2,1,7
"N00001701",9,3,0,6
"N00001702",24,5,0,19
"N00001703",34,14,2,18
"N00001704",24,7,2,15
"N00001705",12,5,0,7
"N00001706",37,13,3,21
"N00001707",33,13,1,19
"N00001708",31,15,0,16
"N00001709",13,3,3,7
"N00001710",20,5,1,14
"N00001711",24,7,2,15
"N00001712",13,8,0,5
"N00001713",6,1,1,4
"N00001714",19,6,1,12
"N00001715",9,5,0,4
"N00001716",10,2,1,7
"N00001717",10,3,1,6
"N00001718",11,2,2,7
"N00001719",14,4,1,9
"N00001720",11,2,1,8
"N00001721",13,4,0,9
"N00001722",8,0,2,6
"N00001723",9,2,1,6
"N00001724",13,4,2,7
"N00001725",12,3,3,6
"N00001726",17,3,2,12
"N00001727",4,0,1,3
"N00001728",13,6,1,6
"N00001729",18,7,5,6
"N00001730",9,2,1,6
"N00001731",8,1,2,5
"N00001732",123,57,5,61
"N00001733",19,8,3,8
"N00001734",21,7,0,14
"N00001735",18,6,3,9
"N00001736",3,3,0,0
"N00001737",28,8,5,15
"N00001738",25,6,0,19
"N00001739",14,2,4,8
"N00001740",37,13,1,23
"N00001741",26,3,3,20
"N00001742",12,3,1,8
"N00001743",18,5,0,13
"N00001744",27,9,2,16
"N00001745",37,17,5,15
"N00001746",20,5,1,14
"N00001747",44,7,9,28
"N00001748",34,10,6,18
"N00001749",26,10,2,14
"N00001750",20,11,1,8
"N00001751",20,7,0,13
"N00001752",15,6,0,9
"N00001753",19,3,0,16
"N00001754",29,11,0,18
"N00001755",28,6,1,21
"N00001756",23,8,0,15
"N00001757",5,3,0,2
"N00001758",19,8,1,10
"N00001759",26,8,1,17
"N00001760",79,24,5,50
"N00001761",48,15,4,29
"N00001762",11,1,2,8
"N00001763",106,31,10,65
"N00001764",12,6,0,6
"N00001765",56,19,1,36
"N00001766",13,4,0,9
"N00001767",18,6,0,12
"N00001768",25,8,0,17
"N00001769",38,12,5,21
"N00001770",34,11,1,22
"N00001771",46,17,3,26
"N00001772",20,7,0,13
"N00001773",17,10,0,7
"N00001774",30,11,0,19
"N00001775",16,3,0,13
"N00001776",19,11,0,8
"N00001777",16,6,0,10
"N00001778",21,9,2,10
"N00001779",18,6,2,10
"N00001780",34,18,0,16
"N00001781",27,11,4,12
"N00001782",24,9,4,11
"N00001783",21,11,1,9
"N00001784",11,3,1,7
"N00001785",16,3,4,9
"N00001786",15,6,1,8
"N00001787",10,4,2,4
"N00001788",23,10,1,12
"N00001789",24,9,4,11
"N00001790",19,9,0,10
"N00001791",62,21,2,39
"N00001792",52,24,3,25
"N00001793",51,16,5,30
"N00001794",37,14,1,22
"N00001795",20,9,0,11
"N00001796",34,14,3,17
"N00001797",17,5,1,11
"N00001798",43,16,0,27
"N00001799",15,4,0,11
"N00001800",29,12,0,17
"N00001801",37,11,2,24
"N00001802",20,7,2,11
"N00001803",19,8,2,9
"N00001804",37,11,1,25
"N00001805",43,8,2,33
"N00001806",19,5,1,13
"N00001807",11,3,0,8
"N00001808",10,3,2,5
"N00001809",20,9,1,10
"N00001810",15,6,3,6
"N00001811",20,3,6,11
"N00001812",8,2,0,6
"N00001813",2,0,0,2
"N00001814",30,10,1,19
"N00001815",21,5,0,16
"N00001816",27,14,1,12
"N00001817",15,6,0,9
"N00001818",15,7,2,6
"N00001819",26,9,3,14
"N00001820",10,3,2,5
"N00001821",32,11,1,20
"N00001822",7,0,0,7
"N00001823",14,4,0,10
"N00001824",27,12,0,15
"N00001825",18,5,1,12
"N00001826",28,14,3,11
"N00001827",23,11,0,12
"N00001828",6,1,2,3
"N00001829",16,4,1,11
"N00001830",36,16,1,19
"N00001831",35,9,1,25
"N00001832",9,3,2,4
"N00001833",15,6,0,9
"N00001834",16,8,1,7
"N00001835",18,6,1,11
"N00001836",22,8,3,11
"N00001837",4,1,2,1
"N00001838",13,7,2,4
"N00001839",16,7,3,6
"N00001840",45,7,6,32
"N00001841",16,6,0,10
"N00001842",5,0,0,5
"N00001843",28,11,0,17
"N00001844",13,3,1,9
"N00001845",16,5,0,11
"N00001846",13,4,0,9
"N00001847",19,5,0,14
"N00001848",29,11,0,18
"N00001849",17,3,4,10
"N00001850",37,15,0,22
"N00001851",17,5,1,11
"N00001852",17,2,2,13
"N00001853",26,8,1,17
"N00001854",9,2,1,6
"N00001855",20,6,5,9
"N00001856",15,6,3,6
"N00001857",8,5,2,1
"N00001858",9,6,1,2
"N00001859",12,3,0,9
"N00001860",10,1,0,9
"N00001861",16,6,0,10
"N00001862",22,7,2,13
"N00001863",9,3,1,5
"N00001864",24,7,2,15
"N00001865",28,8,1,19
"N00001866",9,3,0,6
"N00001867",13,5,1,7
"N00001868",42,16,4,22
"N00001869",22,9,1,12
"N00001870",14,2,0,12
"N00001871",31,8,4,19
"N00001872",21,7,0,14
"N00001873",48,8,4,36
"N00001874",30,13,3,14
"N00001875",14,6,1,7
"N00001876",16,3,3,10
"N00001877",15,7,1,7
"N00001878",20,7,1,12
"N00001879",15,3,4,8
"N00001880",20,7,1,12
"N00001881",57,13,11,33
"N00001882",13,4,2,7
"N00001883",16,7,0,9
"N00001884",9,6,0,3
"N00001885",6,0,0,6
"N00001886",14,4,2,8
"N00001887",8,2,2,4
"N00001888",18,3,0,15
"N00001889",14,3,1,10
"N00001890",29,13,4,12
"N00001891",26,10,2,14
"N00001892",10,3,1,6
"N00001893",10,1,3,6
"N00001894",21,6,4,11
"N00001895",19,1,2,16
"N00001896",17,7,4,6
"N00001897",22,12,1,9
"N00001898",13,5,1,7
"N00001899",8,2,0,6
"N00001900",20,8,2,10
"N00001901",30,12,3,15
"N00001902",45,16,3,26
"N00001903",58,12,4,42
"N00001904",21,9,3,9
"N00001905",13,5,1,7
"N00001906",18,11,0,7
"N00001907",22,9,1,12
"N00001908",13,1,3,9
"N00001909",27,12,1,14
"N00001910",29,15,0,14
"N00001911",16,6,1,9
"N00001912",21,7,0,14
"N00001913",20,10,1,9
"N00001914",16,7,1,8
"N00001915",39,15,1,23
"N00001916",17,3,1,13
"N00001917",19,9,0,10
"N00001918",12,5,0,7
"N00001919",16,7,0,9
"N00001920",18,10,1,7
"N00001921",12,4,0,8
"N00001922",14,2,1,11
"N00001923",7,5,0,2
"N00001924",19,5,3,11
"N00001925",12,3,1,8
"N00001926",21,6,1,14
"N00001927",9,3,0,6
"N00001928",14,6,1,7
"N00001929",16,6,0,10
"N00001930",17,8,1,8
"N00001931",14,5,2,7
"N00001932",22,9,4,9
"N00001933",13,4,1,8
"N00001934",7,1,0,6
"N00001935",29,9,0,20
"N00001936",19,8,0,11
"N00001937",23,9,1,13
"N00001938",26,11,2,13
"N00001939",15,5,2,8
"N00001940",30,12,2,16
"N00001941",22,10,0,12
"N00001942",22,9,1,12
"N00001943",26,7,2,17
"N00001944",23,1,3,19
"N00001945",27,6,1,20
"N00001946",15,3,0,12
"N00001947",29,7,1,21
"N00001948",10,3,0,7
"N00001949",47,15,1,31
"N00001950",17,6,1,10
"N00001951",20,5,1,14
"N00001952",17,5,0,12
"N00001953",9,0,1,8
"N00001954",17,6,0,11
"N00001955",20,6,0,14
"N00001956",16,5,5,6
"N00001957",25,8,2,15
"N00001958",20,6,3,11
"N00001959",4,1,0,3
"N00001960",12,3,1,8
"N00001961",34,15,7,12
"N00001962",12,6,0,6
"N00001963",10,3,1,6
"N00001964",12,0,1,11
"N00001965",14,3,2,9
"N00001966",17,5,1,11
"N00001967",27,9,0,18
"N00001968",15,3,0,12
"N00001969",32,10,4,18
"N00001970",18,3,0,15
"N00001971",21,6,0,15
"N00001972",16,6,2,8
"N00001973",17,4,2,11
"N00001974",10,3,0,7
"N00001975",18,3,1,14
"N00001976",18,3,3,12
"N00001977",20,5,3,12
"N00001978",17,7,4,6
"N00001979",10,3,1,6
"N00001980",14,1,4,9
"N00001981",4,0,0,4
"N00001982",50,8,3,39
"N00001983",13,3,0,10
"N00001984",22,10,5,7
"N00001985",16,5,1,10
"N00001986",23,8,3,12
"N00001987",31,7,4,20
"N00001988",17,5,4,8
