"Geography_Code","NM_1287_1_0","NM_1287_1_1","NM_1287_1_10","NM_1287_1_11","NM_1287_1_12","NM_1287_1_13","NM_1287_1_14","NM_1287_1_15","NM_1287_1_16","NM_1287_1_17","NM_1287_1_18","NM_1287_1_19","NM_1287_1_2","NM_1287_1_20","NM_1287_1_3","NM_1287_1_4","NM_1287_1_5","NM_1287_1_6","NM_1287_1_7","NM_1287_1_8","NM_1287_1_9"
"N00000224",243,221,5,14,0,13,3,0,3,0,0,3,22,0,5,14,3,13,240,221,19
"N00000225",147,142,0,5,0,7,0,0,0,0,0,0,5,1,0,5,0,8,147,142,5
"N00000226",261,250,0,8,3,6,0,0,0,0,0,0,11,0,0,8,3,6,261,250,11
"N00000227",195,176,0,19,0,8,1,1,0,0,0,0,19,0,0,19,0,8,194,175,19
"N00000228",306,295,1,7,3,11,0,0,0,0,0,0,11,0,1,7,3,11,306,295,11
"N00000229",395,367,0,27,0,27,8,7,1,0,1,0,28,0,0,28,0,27,387,360,27
"N00000230",293,274,0,17,2,11,6,6,0,0,0,0,19,0,0,17,2,11,287,268,19
"N00000231",324,291,3,30,0,24,6,6,0,0,0,0,33,0,3,30,0,24,318,285,33
"N00000232",309,281,0,20,7,32,14,13,1,0,0,1,28,0,0,20,8,32,295,268,27
"N00000233",258,231,0,26,0,22,7,6,1,0,1,0,27,0,0,27,0,22,251,225,26
"N00000234",256,218,0,38,0,15,8,8,0,0,0,0,38,0,0,38,0,15,248,210,38
"N00000235",323,289,0,33,1,37,1,1,0,0,0,0,34,0,0,33,1,37,322,288,34
"N00000236",291,278,0,13,0,15,5,5,0,0,0,0,13,0,0,13,0,15,286,273,13
"N00000237",416,405,0,11,0,18,1,1,0,0,0,0,11,0,0,11,0,18,415,404,11
"N00000238",306,292,0,14,0,16,1,1,0,0,0,0,14,0,0,14,0,16,305,291,14
"N00000239",254,235,0,17,0,29,3,1,2,0,2,0,19,0,0,19,0,29,251,234,17
"N00000240",354,316,3,34,1,33,1,1,0,0,0,0,38,0,3,34,1,33,353,315,38
"N00000241",424,406,0,16,1,7,6,5,1,0,0,1,18,0,0,16,2,7,418,401,17
"N00000242",360,352,0,7,1,17,1,1,0,0,0,0,8,0,0,7,1,17,359,351,8
"N00000243",265,254,0,8,3,10,0,0,0,0,0,0,11,0,0,8,3,10,265,254,11
"N00000244",275,258,0,17,0,24,3,3,0,0,0,0,17,2,0,17,0,26,272,255,17
"N00000245",314,303,0,7,4,21,11,11,0,0,0,0,11,0,0,7,4,21,303,292,11
"N00000246",309,286,1,22,0,18,2,2,0,0,0,0,23,0,1,22,0,18,307,284,23
"N00000247",309,302,0,7,0,24,10,10,0,0,0,0,7,0,0,7,0,24,299,292,7
"N00000248",337,318,1,17,1,20,1,1,0,0,0,0,19,0,1,17,1,20,336,317,19
"N00000249",386,370,0,15,0,17,4,3,1,0,1,0,16,0,0,16,0,17,382,367,15
"N00000250",401,384,1,14,1,17,3,2,1,0,1,0,17,0,1,15,1,17,398,382,16
"N00000251",456,433,0,23,0,34,0,0,0,0,0,0,23,0,0,23,0,34,456,433,23
"N00000252",345,323,3,18,1,23,5,5,0,0,0,0,22,1,3,18,1,24,340,318,22
"N00000253",499,469,0,29,1,23,0,0,0,0,0,0,30,0,0,29,1,23,499,469,30
"N00000254",315,307,0,7,1,30,2,2,0,0,0,0,8,0,0,7,1,30,313,305,8
"N00000255",351,330,1,19,1,11,4,4,0,0,0,0,21,0,1,19,1,11,347,326,21
"N00000256",780,703,5,55,16,33,5,4,1,0,1,0,77,2,5,56,16,35,775,699,76
"N00000257",447,414,0,31,2,42,1,1,0,0,0,0,33,1,0,31,2,43,446,413,33
"N00000258",379,368,0,10,1,21,5,5,0,0,0,0,11,1,0,10,1,22,374,363,11
"N00000259",465,445,0,17,3,24,4,4,0,0,0,0,20,0,0,17,3,24,461,441,20
"N00000260",560,510,1,48,1,21,3,3,0,0,0,0,50,0,1,48,1,21,557,507,50
"N00000261",561,541,2,18,0,30,5,5,0,0,0,0,20,0,2,18,0,30,556,536,20
"N00000262",419,390,4,24,0,8,3,2,1,0,1,0,29,0,4,25,0,8,416,388,28
"N00000263",239,215,1,23,0,15,1,1,0,0,0,0,24,1,1,23,0,16,238,214,24
"N00000264",566,534,0,31,1,39,1,1,0,0,0,0,32,0,0,31,1,39,565,533,32
"N00000265",351,319,2,26,4,25,0,0,0,0,0,0,32,0,2,26,4,25,351,319,32
"N00000266",328,318,0,10,0,17,8,8,0,0,0,0,10,0,0,10,0,17,320,310,10
"N00000267",431,423,0,6,2,26,0,0,0,0,0,0,8,0,0,6,2,26,431,423,8
"N00000268",384,361,1,20,2,12,0,0,0,0,0,0,23,0,1,20,2,12,384,361,23
"N00000269",347,345,0,2,0,13,1,1,0,0,0,0,2,0,0,2,0,13,346,344,2
"N00000270",371,357,3,11,0,39,1,1,0,0,0,0,14,0,3,11,0,39,370,356,14
