"Geography_Code","NM_1549_1_0","NM_1549_1_1","NM_1549_1_10","NM_1549_1_11","NM_1549_1_2","NM_1549_1_3","NM_1549_1_4","NM_1549_1_5","NM_1549_1_6","NM_1549_1_7","NM_1549_1_8","NM_1549_1_9"
"N00000418",313,313,0,0,313,172,73,68,0,0,0,0
"N00000419",139,139,0,0,139,122,10,7,0,0,0,0
"N00000420",138,138,0,0,138,88,39,11,0,0,0,0
"N00000421",185,185,0,0,185,117,65,3,0,0,0,0
"N00000422",170,170,0,0,169,40,77,52,1,0,1,0
"N00000423",152,152,0,0,151,143,4,4,1,0,1,0
"N00000424",180,180,0,0,178,101,41,36,2,2,0,0
"N00000425",121,121,0,0,121,103,17,1,0,0,0,0
"N00000426",123,123,0,0,122,52,34,36,1,1,0,0
"N00000427",133,133,1,0,131,87,28,16,1,0,1,0
"N00000428",146,146,1,0,145,65,61,19,0,0,0,0
"N00000429",152,152,0,0,151,143,6,2,1,0,1,0
"N00000430",154,154,2,0,152,136,12,4,0,0,0,0
"N00000431",137,137,1,0,135,62,37,36,1,1,0,0
"N00000432",118,118,0,0,117,45,33,39,1,1,0,0
"N00000433",141,141,0,0,115,22,21,72,26,20,0,6
"N00000434",179,179,0,0,178,39,65,74,1,1,0,0
"N00000435",173,173,0,0,164,49,61,54,9,9,0,0
"N00000436",174,174,1,0,172,142,29,1,1,1,0,0
"N00000437",195,195,2,0,193,154,34,5,0,0,0,0
"N00000438",153,153,1,0,152,140,6,6,0,0,0,0
"N00000439",134,134,2,0,132,121,6,5,0,0,0,0
"N00000440",127,127,3,0,124,99,8,17,0,0,0,0
"N00000441",121,121,0,0,119,73,16,30,2,1,1,0
"N00000442",167,167,0,0,165,38,29,98,2,1,0,1
"N00000443",164,164,0,0,158,151,3,4,6,6,0,0
"N00000444",257,257,0,0,237,35,127,75,20,11,1,8
"N00000445",141,141,0,0,135,126,6,3,6,5,1,0
"N00000446",130,130,0,0,129,73,49,7,1,0,0,1
"N00000447",117,117,0,0,116,94,19,3,1,1,0,0
"N00000448",128,128,0,0,102,16,29,57,26,22,0,4
"N00000449",146,146,1,0,145,128,12,5,0,0,0,0
"N00000450",178,178,0,0,177,102,48,27,1,0,0,1
"N00000451",189,189,1,0,187,74,77,36,1,0,1,0
"N00000452",157,157,1,0,155,149,4,2,1,1,0,0
"N00000453",149,149,1,0,144,45,35,64,4,3,0,1
"N00000454",162,162,2,0,159,155,4,0,1,1,0,0
"N00000455",111,111,0,0,109,29,37,43,2,1,1,0
"N00000456",118,118,0,0,118,104,13,1,0,0,0,0
"N00000457",126,126,0,0,125,19,105,1,1,1,0,0
"N00000458",129,129,0,0,129,126,2,1,0,0,0,0
