"Geography_Code","NM_1545_1_0","NM_1545_1_1","NM_1545_1_2","NM_1545_1_3","NM_1545_1_4"
"N00000273",460,392,56,2,10
"N00000274",468,407,43,3,15
"N00000275",291,242,22,8,19
"N00000276",315,273,28,8,6
"N00000277",310,263,30,4,13
"N00000278",304,266,27,5,6
"N00000279",181,171,7,1,2
"N00000280",392,338,29,5,20
"N00000281",349,284,42,9,14
"N00000282",364,300,34,12,18
"N00000283",346,303,26,5,12
"N00000284",382,339,19,8,16
"N00000285",322,277,22,7,16
"N00000286",271,232,20,7,12
"N00000287",297,261,14,7,15
"N00000288",353,302,23,8,20
"N00000289",496,437,31,8,20
"N00000290",271,225,19,12,15
"N00000291",512,460,22,7,23
"N00000292",731,633,51,19,28
"N00000293",522,460,44,11,7
"N00000294",405,349,41,6,9
"N00000295",421,356,48,7,10
"N00000296",287,242,34,5,6
"N00000297",371,325,35,7,4
"N00000298",335,285,31,10,9
"N00000299",324,282,33,7,2
"N00000300",296,274,14,1,7
"N00000301",366,324,25,8,9
"N00000302",363,310,29,5,19
"N00000303",318,279,26,2,11
"N00000304",342,322,12,4,4
"N00000305",395,336,39,4,16
"N00000306",381,328,30,13,10
"N00000307",355,316,26,7,6
"N00000308",277,234,24,10,9
"N00000309",378,340,26,7,5
"N00000310",408,341,44,5,18
"N00000311",333,302,18,5,8
"N00000312",512,444,42,6,20
"N00000313",636,587,30,10,9
"N00000314",358,309,25,5,19
"N00000315",345,292,33,6,14
"N00000316",374,331,22,14,7
"N00000317",447,391,26,17,13
"N00000318",344,285,36,9,14
"N00000319",819,710,50,19,40
"N00000320",318,270,28,7,13
"N00000321",517,452,35,8,22
"N00000322",389,330,24,12,23
"N00000323",472,418,34,10,10
"N00000324",376,324,29,9,14
"N00000325",538,467,27,12,32
"N00000326",946,813,62,25,46
"N00000327",325,277,26,9,13
"N00000328",291,257,15,8,11
"N00000329",402,347,30,9,16
"N00000330",539,481,40,8,10
"N00000331",612,542,41,10,19
"N00000332",284,265,11,4,4
"N00000333",293,252,17,7,17
"N00000334",294,265,12,6,11
"N00000335",326,279,28,3,16
"N00000336",330,271,33,9,17
"N00000337",282,252,25,3,2
"N00000338",308,266,21,9,12
"N00000339",294,259,29,2,4
"N00000340",427,362,45,11,9
"N00000341",348,286,38,10,14
"N00000342",359,296,43,12,8
"N00000343",351,296,34,11,10
"N00000344",406,377,13,9,7
"N00000345",416,369,17,10,20
"N00000346",685,608,44,14,19
"N00000347",257,231,11,7,8
"N00000348",426,384,28,6,8
"N00000349",368,317,30,5,16
"N00000350",577,519,37,8,13
"N00000351",414,367,22,9,16
"N00000352",466,417,27,12,10
"N00000353",422,371,33,6,12
"N00000354",405,356,27,12,10
"N00000355",441,383,31,11,16
