"Geography_Code","NM_1546_1_0","NM_1546_1_1","NM_1546_1_2","NM_1546_1_3","NM_1546_1_4","NM_1546_1_5"
"N00000370",485,236,144,75,23,7
"N00000371",447,276,100,59,10,2
"N00000372",380,195,130,39,12,4
"N00000373",437,245,124,52,9,7
"N00000374",348,195,113,29,7,4
"N00000375",303,148,105,38,9,3
"N00000376",261,112,85,52,11,1
"N00000377",268,125,85,47,10,1
"N00000378",289,123,89,57,14,6
"N00000379",490,284,154,41,10,1
"N00000380",532,300,158,58,14,2
"N00000381",979,532,274,127,34,12
"N00000382",557,311,162,58,20,6
"N00000383",472,253,139,71,6,3
"N00000384",490,295,134,51,10,0
"N00000385",445,252,133,50,8,2
"N00000386",291,146,70,45,24,6
"N00000387",227,96,73,38,14,6
"N00000388",1602,772,489,226,95,20
"N00000389",445,260,95,68,18,4
"N00000390",972,545,303,102,18,4
"N00000391",524,270,167,73,10,4
"N00000392",1399,684,540,149,22,4
"N00000393",459,216,167,60,11,5
"N00000394",406,209,132,53,11,1
"N00000395",508,234,141,93,33,7
"N00000396",376,209,118,40,9,0
"N00000397",520,284,160,62,12,2
"N00000398",463,229,135,69,21,9
"N00000399",304,143,99,44,14,4
"N00000400",240,100,62,64,9,5
"N00000401",286,120,89,53,19,5
"N00000402",248,104,83,49,11,1
"N00000403",522,261,169,73,16,3
"N00000404",276,94,75,70,29,8
"N00000405",223,89,67,48,12,7
"N00000406",397,199,137,51,10,0
"N00000407",1125,644,309,133,26,13
"N00000408",468,267,122,61,16,2
"N00000409",403,175,134,79,14,1
"N00000410",392,199,120,60,11,2
"N00000411",355,200,95,44,12,4
"N00000412",438,225,128,64,16,5
"N00000413",442,262,121,45,11,3
"N00000414",380,217,99,50,13,1
"N00000415",439,223,127,68,18,3
"N00000416",420,221,139,53,7,0
"N00000417",533,283,179,53,15,3
"N00000418",857,416,298,116,24,3
"N00000419",354,187,110,48,8,1
"N00000420",339,140,113,56,24,6
"N00000421",530,289,153,73,13,2
"N00000422",422,191,122,79,25,5
"N00000423",461,226,156,61,15,3
"N00000424",561,315,151,66,23,6
"N00000425",363,212,90,51,9,1
"N00000426",307,142,96,50,15,4
"N00000427",339,164,94,46,28,7
"N00000428",398,202,120,53,16,7
"N00000429",474,240,152,65,13,4
"N00000430",497,267,136,77,12,5
"N00000431",361,166,130,52,11,2
"N00000432",285,122,97,44,21,1
"N00000433",280,109,101,58,9,3
"N00000434",445,191,142,93,16,3
"N00000435",430,203,143,63,14,7
"N00000436",522,251,177,73,17,4
"N00000437",664,399,183,58,23,1
"N00000438",475,255,141,62,13,4
"N00000439",419,239,124,46,7,3
"N00000440",417,244,112,47,11,3
"N00000441",311,158,91,54,6,2
"N00000442",444,221,133,69,17,4
"N00000443",488,284,158,41,5,0
"N00000444",566,210,207,113,32,4
"N00000445",397,211,126,52,4,4
"N00000446",336,200,92,31,8,5
"N00000447",309,133,103,61,11,1
"N00000448",246,77,85,59,20,5
"N00000449",435,208,151,55,15,6
"N00000450",491,294,132,52,10,3
"N00000451",493,275,140,54,19,5
"N00000452",452,223,147,68,13,1
"N00000453",335,136,99,69,24,7
"N00000454",514,286,148,65,13,2
"N00000455",273,126,95,41,10,1
"N00000456",322,199,93,25,5,0
"N00000457",347,188,105,40,13,1
"N00000458",366,201,120,31,11,3
"N00000459",690,355,226,96,10,3
"N00000460",359,156,142,46,13,2
"N00000461",421,222,131,50,14,4
"N00000462",232,81,86,47,13,5
"N00000463",777,354,249,130,38,6
"N00000464",436,201,155,57,17,6
"N00000465",305,135,102,44,20,4
"N00000466",375,184,118,56,16,1
"N00000467",290,125,92,52,17,4
"N00000468",302,147,93,53,8,1
"N00000469",440,247,122,49,19,3
"N00000470",286,129,98,46,13,0
"N00000471",286,107,113,49,13,4
"N00000472",222,70,87,55,7,3
"N00000473",202,72,82,40,7,1
"N00000474",250,91,96,49,13,1
"N00000475",238,112,64,49,10,3
"N00000476",256,115,80,50,8,3
"N00000477",721,374,248,85,12,2
"N00000478",294,126,100,56,11,1
"N00000479",280,144,91,32,12,1
"N00000480",335,150,117,58,8,2
"N00000481",469,178,166,86,29,10
"N00000482",225,76,60,59,26,4
"N00000483",285,137,100,40,7,1
"N00000484",330,134,122,60,11,3
"N00000485",241,113,81,37,9,1
"N00000486",372,211,127,27,7,0
"N00000487",290,167,73,38,9,3
"N00000488",409,232,131,42,3,1
"N00000489",282,143,97,33,9,0
"N00000490",515,286,180,40,8,1
"N00000491",525,291,177,44,13,0
"N00000492",414,205,137,56,15,1
"N00000493",331,158,118,48,6,1
"N00000494",825,404,299,105,17,0
"N00000495",336,145,140,45,6,0
"N00000496",837,474,295,58,6,4
"N00000497",837,417,312,80,21,7
"N00000498",337,139,124,60,13,1
"N00000499",296,102,102,69,18,5
"N00000500",503,167,175,114,37,10
"N00000501",300,115,87,65,27,6
"N00000502",196,82,64,29,16,5
"N00000503",395,156,162,54,19,4
"N00000504",236,97,67,45,21,6
"N00000505",225,85,88,33,17,2
"N00000506",282,117,111,46,4,4
"N00000507",269,99,93,52,20,5
"N00000508",316,105,115,80,14,2
"N00000509",357,148,144,48,13,4
"N00000510",290,128,94,51,15,2
"N00000511",520,207,165,108,24,16
"N00000512",430,199,150,54,25,2
"N00000513",327,147,124,47,9,0
"N00000514",357,162,136,54,5,0
"N00000515",345,162,144,34,5,0
"N00000516",215,105,73,29,8,0
"N00000517",394,155,129,84,19,7
"N00000518",311,154,98,48,8,3
"N00000519",260,107,98,44,9,2
"N00000520",612,258,191,132,26,5
"N00000521",413,170,153,69,16,5
"N00000522",451,215,141,70,17,8
"N00000523",397,218,122,51,4,2
"N00000524",488,272,173,37,5,1
"N00000525",431,169,152,91,18,1
"N00000526",260,93,114,39,11,3
"N00000527",344,154,123,49,14,4
"N00000528",247,66,101,60,13,7
"N00000529",238,79,78,53,20,8
"N00000530",292,97,107,69,14,5
"N00000531",317,131,128,44,13,1
"N00000532",214,78,90,27,16,3
"N00000533",214,30,71,94,16,3
"N00000534",490,298,122,56,13,1
"N00000535",519,287,162,59,8,3
"N00000536",392,191,140,44,14,3
"N00000537",413,189,147,64,11,2
"N00000538",395,236,98,52,7,2
"N00000539",381,178,135,50,16,2
"N00000540",291,119,114,43,14,1
"N00000541",407,233,114,50,9,1
"N00000542",265,106,93,54,11,1
"N00000543",389,192,128,62,6,1
"N00000544",273,116,91,51,13,2
"N00000545",288,128,98,47,10,5
"N00000546",280,107,103,52,17,1
"N00000547",327,141,120,49,16,1
"N00000548",285,130,92,50,11,2
"N00000549",215,63,61,72,14,5
"N00000550",429,205,149,65,8,2
"N00000551",269,135,87,38,8,1
"N00000552",254,114,89,39,11,1
"N00000553",347,165,121,52,8,1
"N00000554",250,119,90,33,7,1
"N00000555",251,96,101,37,11,6
"N00000556",348,152,148,28,15,5
"N00000557",552,279,171,82,15,5
"N00000558",466,212,165,70,15,4
"N00000559",322,146,108,56,10,2
"N00000560",413,219,129,52,11,2
"N00000561",493,248,169,62,11,3
"N00000562",364,185,122,45,9,3
"N00000563",923,401,346,147,23,6
"N00000564",323,135,118,62,8,0
"N00000565",218,65,91,50,11,1
"N00000566",320,138,93,54,26,9
"N00000567",517,259,169,68,17,4
"N00000568",369,177,139,46,6,1
"N00000569",380,166,141,56,15,2
"N00000570",337,179,118,32,6,2
"N00000571",303,146,124,28,4,1
"N00000572",572,319,183,59,9,2
"N00000573",364,214,107,38,3,2
"N00000574",435,253,142,36,4,0
"N00000575",462,254,152,46,9,1
"N00000576",344,194,103,36,10,1
"N00000577",434,250,113,56,12,3
"N00000578",718,406,218,72,16,6
"N00000579",480,299,120,52,8,1
"N00000580",474,228,170,60,14,2
"N00000581",539,327,157,34,17,4
"N00000582",401,189,135,58,13,6
"N00000583",305,145,98,47,12,3
"N00000584",493,239,155,77,15,7
"N00000585",477,254,147,61,12,3
"N00000586",446,213,167,51,13,2
"N00000587",465,243,152,56,14,0
"N00000588",394,234,103,45,11,1
"N00000589",639,381,185,56,14,3
"N00000590",416,204,149,47,14,2
"N00000591",454,225,149,72,8,0
"N00000592",480,238,167,60,10,5
"N00000593",576,356,154,56,8,2
"N00000594",371,191,128,44,7,1
