"Geography_Code","NM_1554_1_0","NM_1554_1_1","NM_1554_1_2","NM_1554_1_3","NM_1554_1_4","NM_1554_1_5","NM_1554_1_6","NM_1554_1_7","NM_1554_1_8","NM_1554_1_9"
"N00000156",127,0,1,3,5,57,34,11,9,7
"N00000157",139,0,1,3,12,19,17,30,23,34
"N00000158",286,0,5,5,41,106,63,25,25,16
"N00000159",116,0,1,13,42,38,8,2,6,6
"N00000160",124,0,2,5,26,24,15,6,13,33
"N00000161",128,0,1,0,2,4,5,18,34,64
"N00000162",115,0,1,1,22,58,15,9,6,3
"N00000163",155,1,7,24,60,44,7,4,5,3
"N00000164",118,2,1,2,4,18,18,23,25,25
"N00000165",135,0,1,4,22,16,23,20,18,31
"N00000166",122,0,0,1,5,54,36,14,5,7
"N00000167",149,0,0,4,6,35,35,28,16,25
"N00000168",145,0,0,0,8,39,49,15,16,18
"N00000169",279,0,4,10,32,60,38,37,35,63
"N00000170",139,0,0,8,18,37,41,13,12,10
"N00000171",146,0,0,3,12,16,20,19,20,56
"N00000172",307,1,2,8,31,76,48,48,38,55
"N00000173",144,0,0,1,7,21,22,29,21,43
"N00000174",163,0,2,12,37,61,35,9,6,1
"N00000175",140,0,2,2,17,54,25,15,11,14
"N00000176",205,1,5,10,32,104,43,3,5,2
"N00000177",167,0,7,16,79,38,18,4,3,2
"N00000178",355,2,12,48,109,109,47,12,8,8
"N00000179",492,2,42,125,169,94,34,19,6,1
"N00000180",131,0,2,9,46,48,22,2,2,0
"N00000181",168,3,13,62,49,27,12,1,0,1
"N00000182",105,1,0,2,25,65,8,4,0,0
"N00000183",146,0,5,13,39,52,18,5,6,8
"N00000184",184,1,23,41,50,32,14,9,10,4
"N00000185",121,0,7,29,33,18,5,3,13,13
"N00000186",137,1,2,22,40,38,11,8,7,8
"N00000187",126,0,7,1,80,27,5,5,0,1
"N00000188",128,0,1,4,9,83,22,3,0,6
"N00000189",125,0,0,1,4,14,24,26,27,29
"N00000190",119,0,0,2,3,45,44,19,4,2
"N00000191",124,0,0,0,3,50,46,13,8,4
"N00000192",120,0,0,4,6,64,31,11,4,0
"N00000193",111,0,2,9,51,36,3,5,3,2
"N00000194",119,0,5,4,35,48,22,4,1,0
"N00000195",123,0,6,2,37,55,17,2,2,2
"N00000196",116,1,3,4,55,40,8,3,0,2
"N00000197",115,0,0,3,2,49,42,14,3,2
"N00000198",110,2,1,6,4,48,25,6,9,9
"N00000199",130,0,4,2,4,57,31,17,10,5
"N00000200",124,0,3,1,4,69,37,8,2,0
"N00000201",143,1,0,8,24,37,33,24,6,10
"N00000202",132,0,0,1,12,33,34,20,18,14
"N00000203",134,0,0,6,12,33,25,15,19,24
"N00000204",152,0,0,2,16,84,35,13,0,2
"N00000205",118,0,1,3,11,38,24,22,10,9
"N00000206",212,1,6,51,69,51,21,7,5,1
"N00000207",119,0,1,4,37,29,27,12,7,2
"N00000208",121,1,0,1,9,34,30,25,12,9
"N00000209",122,0,0,1,10,15,12,21,31,32
"N00000210",219,1,10,50,61,46,21,14,7,9
"N00000211",269,2,24,23,76,54,38,18,17,17
"N00000212",85,0,6,15,26,15,14,6,1,2
"N00000213",150,2,2,19,33,39,14,10,13,18
"N00000214",151,0,0,13,42,32,16,17,9,22
"N00000215",151,0,0,1,4,16,20,33,21,56
"N00000216",161,0,2,6,22,41,27,15,16,32
"N00000217",175,0,1,1,7,14,15,30,27,80
"N00000218",148,0,1,0,12,4,18,27,40,46
"N00000219",123,2,5,16,37,39,18,4,1,1
"N00000220",125,1,3,8,25,69,14,3,2,0
"N00000221",115,0,0,6,36,57,14,1,0,1
"N00000222",130,0,1,2,20,50,35,16,4,2
"N00000223",128,0,0,0,32,42,18,8,18,10
"N00000224",118,0,2,4,39,30,23,8,7,5
"N00000225",90,0,2,5,31,29,16,4,2,1
"N00000226",111,0,2,0,4,27,41,21,6,10
"N00000227",121,2,0,28,23,29,28,6,4,1
"N00000228",127,0,1,2,3,46,50,21,2,2
"N00000229",150,0,0,0,34,41,29,14,27,5
"N00000230",116,1,2,4,16,42,35,11,5,0
"N00000231",122,1,4,1,25,48,35,6,2,0
