"Geography_Code","NM_1531_1_0","NM_1531_1_1","NM_1531_1_10","NM_1531_1_100","NM_1531_1_101","NM_1531_1_11","NM_1531_1_12","NM_1531_1_13","NM_1531_1_14","NM_1531_1_15","NM_1531_1_16","NM_1531_1_17","NM_1531_1_18","NM_1531_1_19","NM_1531_1_2","NM_1531_1_20","NM_1531_1_21","NM_1531_1_22","NM_1531_1_23","NM_1531_1_24","NM_1531_1_25","NM_1531_1_26","NM_1531_1_27","NM_1531_1_28","NM_1531_1_29","NM_1531_1_3","NM_1531_1_30","NM_1531_1_31","NM_1531_1_32","NM_1531_1_33","NM_1531_1_34","NM_1531_1_35","NM_1531_1_36","NM_1531_1_37","NM_1531_1_38","NM_1531_1_39","NM_1531_1_4","NM_1531_1_40","NM_1531_1_41","NM_1531_1_42","NM_1531_1_43","NM_1531_1_44","NM_1531_1_45","NM_1531_1_46","NM_1531_1_47","NM_1531_1_48","NM_1531_1_49","NM_1531_1_5","NM_1531_1_50","NM_1531_1_51","NM_1531_1_52","NM_1531_1_53","NM_1531_1_54","NM_1531_1_55","NM_1531_1_56","NM_1531_1_57","NM_1531_1_58","NM_1531_1_59","NM_1531_1_6","NM_1531_1_60","NM_1531_1_61","NM_1531_1_62","NM_1531_1_63","NM_1531_1_64","NM_1531_1_65","NM_1531_1_66","NM_1531_1_67","NM_1531_1_68","NM_1531_1_69","NM_1531_1_7","NM_1531_1_70","NM_1531_1_71","NM_1531_1_72","NM_1531_1_73","NM_1531_1_74","NM_1531_1_75","NM_1531_1_76","NM_1531_1_77","NM_1531_1_78","NM_1531_1_79","NM_1531_1_8","NM_1531_1_80","NM_1531_1_81","NM_1531_1_82","NM_1531_1_83","NM_1531_1_84","NM_1531_1_85","NM_1531_1_86","NM_1531_1_87","NM_1531_1_88","NM_1531_1_89","NM_1531_1_9","NM_1531_1_90","NM_1531_1_91","NM_1531_1_92","NM_1531_1_93","NM_1531_1_94","NM_1531_1_95","NM_1531_1_96","NM_1531_1_97","NM_1531_1_98","NM_1531_1_99"
"N00001900",346,5,6,0,0,3,4,5,2,7,5,1,7,4,0,3,5,3,2,11,0,5,3,0,5,2,2,4,0,2,2,1,3,4,3,4,2,3,4,5,6,5,9,9,4,8,4,5,6,2,2,5,8,7,6,6,6,9,4,5,7,6,4,8,3,4,1,6,3,3,3,2,2,1,7,3,7,3,1,5,4,3,1,1,1,2,1,0,1,2,0,5,0,1,0,1,0,1,0,0,0,0
"N00001901",377,3,7,0,0,6,4,7,8,6,6,10,4,4,0,8,3,4,5,6,6,3,2,2,2,1,2,1,2,1,1,5,2,2,3,3,5,6,4,3,5,4,7,4,11,5,9,3,4,11,6,11,9,11,5,8,1,6,3,8,6,7,7,4,2,3,1,4,1,6,5,2,2,2,8,2,1,0,4,4,2,2,2,3,2,2,1,1,0,1,2,5,1,1,1,1,0,1,0,0,0,0
"N00001902",411,0,6,0,0,5,7,5,7,9,3,11,10,7,1,10,4,7,7,5,2,3,1,1,2,3,1,0,1,2,2,2,5,0,3,1,5,3,3,6,2,10,8,16,11,8,13,1,12,8,7,10,9,8,8,6,5,10,5,5,2,2,5,9,6,4,2,6,3,3,7,7,4,8,2,1,3,2,3,1,3,3,1,0,2,2,0,2,0,1,0,4,0,0,1,0,0,0,0,0,0,0
"N00001903",427,2,10,0,0,6,10,9,12,18,13,18,10,13,4,6,6,2,7,3,3,2,2,3,0,3,2,0,2,4,0,1,0,3,2,6,0,3,6,5,1,5,7,6,18,22,8,5,12,13,13,11,6,5,8,4,5,9,7,1,1,2,2,1,4,2,2,2,0,6,0,0,1,0,2,3,0,3,4,2,5,3,0,5,0,2,0,2,0,3,1,7,0,0,0,0,0,0,0,0,0,0
"N00001904",265,1,2,0,0,6,5,4,8,0,6,6,3,3,4,6,1,4,2,4,3,5,4,1,1,0,1,3,4,5,2,1,4,3,4,3,2,6,6,4,3,7,2,9,4,5,8,4,4,5,4,4,3,1,4,2,2,3,2,1,1,1,1,3,1,1,2,4,5,5,2,0,2,3,0,2,2,1,1,2,5,3,0,2,1,3,1,1,0,0,2,4,0,0,0,0,0,0,0,0,0,0
"N00001905",267,3,3,0,0,1,1,4,2,6,1,3,4,3,2,1,2,2,4,2,3,1,2,4,3,6,5,4,0,6,1,2,2,1,3,0,5,2,1,3,1,2,5,4,12,5,2,1,3,3,5,6,6,4,2,3,1,6,3,3,6,3,3,2,3,2,7,4,5,1,3,5,1,3,6,5,4,0,1,2,5,2,2,3,3,1,1,2,0,1,2,3,1,0,0,0,0,0,0,0,0,0
"N00001906",308,1,3,0,0,2,4,2,3,2,0,4,0,3,3,3,6,1,6,7,3,3,6,4,2,1,3,2,4,3,3,1,1,1,3,4,1,3,3,1,2,4,4,1,5,6,6,2,3,8,8,6,6,7,4,7,4,2,7,7,4,4,3,2,7,5,8,3,5,0,4,7,2,4,7,4,3,6,1,1,1,4,4,3,2,1,0,2,0,1,3,4,1,0,0,1,0,0,0,0,0,0
"N00001907",331,3,2,0,0,4,5,3,5,6,6,6,8,6,2,4,4,1,5,6,5,2,5,3,4,2,1,1,0,3,0,1,7,2,4,3,2,1,3,2,1,5,6,5,10,8,10,4,12,4,9,7,5,6,3,3,3,4,4,2,4,2,5,5,7,5,3,7,3,0,2,2,2,5,2,4,3,1,1,2,2,5,6,3,4,1,0,1,0,2,0,2,1,1,0,0,0,0,0,0,0,0
"N00001908",321,9,3,0,0,4,1,5,2,2,4,3,3,5,0,1,3,7,3,1,3,1,2,3,4,5,5,2,5,9,6,5,5,3,2,4,5,5,6,5,4,2,7,2,2,5,4,3,6,4,6,6,6,4,7,1,2,4,3,5,7,2,7,5,4,4,3,1,7,3,2,4,6,4,4,2,6,2,2,2,2,0,1,5,1,1,0,0,0,2,0,4,0,2,2,0,0,0,0,0,0,0
"N00001909",331,1,1,0,0,4,5,6,4,9,3,3,9,9,3,8,5,2,3,5,6,0,3,4,0,5,4,5,3,4,1,2,5,0,2,6,2,2,4,5,6,5,7,7,8,8,6,3,8,2,9,6,4,7,4,13,6,5,4,5,2,3,4,4,2,1,3,2,5,3,2,0,1,4,1,2,4,2,3,3,5,2,0,1,2,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
"N00001910",386,1,5,0,0,7,7,2,7,6,8,5,6,7,5,6,4,9,4,10,5,8,2,2,2,6,2,1,2,0,0,1,3,3,5,6,6,4,4,3,10,4,9,10,9,7,8,2,13,11,13,11,6,11,8,6,6,6,5,5,3,7,5,8,3,3,5,1,6,3,1,1,1,1,1,0,1,0,0,1,4,0,0,0,0,1,0,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0
"N00001911",290,2,7,0,0,2,5,6,2,2,6,3,4,6,8,2,4,4,4,0,4,4,4,7,1,4,5,11,6,4,8,1,5,5,6,4,5,6,3,7,2,8,5,2,7,4,4,4,4,2,4,2,5,3,4,4,3,0,4,3,0,3,2,1,1,2,3,2,0,2,0,1,3,0,0,1,1,3,1,3,2,2,4,1,2,3,0,1,2,0,2,0,0,0,0,0,0,0,0,1,0,0
"N00001912",428,8,3,0,0,5,6,3,4,4,3,2,5,1,3,4,6,5,3,7,3,8,5,9,10,11,11,7,10,8,8,5,4,6,3,8,4,4,2,9,3,4,2,2,5,8,8,4,6,7,9,3,4,4,7,7,1,7,5,2,3,6,8,6,1,4,4,3,8,4,5,4,4,6,2,4,0,1,1,3,7,2,4,1,4,2,5,2,3,3,4,3,1,1,1,0,2,0,1,0,0,0
"N00001913",280,1,3,0,0,2,1,3,2,3,2,3,2,5,4,7,2,1,4,2,2,3,0,0,1,0,2,1,7,7,13,6,7,5,3,2,5,5,5,3,3,6,3,7,2,4,5,2,1,7,5,2,10,3,3,4,1,3,2,2,2,4,2,3,6,5,6,9,1,1,2,2,3,4,0,2,3,3,2,5,3,2,2,0,2,3,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0
"N00001914",303,4,4,0,0,2,3,2,2,2,4,3,4,1,6,3,4,6,4,4,5,8,4,2,4,3,8,5,5,7,10,6,13,3,4,7,4,2,4,4,2,3,7,2,3,1,3,3,3,8,6,3,4,2,2,5,7,4,2,4,4,3,4,5,1,2,2,2,2,3,3,5,4,1,1,4,2,2,0,1,0,2,1,4,0,0,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"N00001915",651,12,5,0,0,6,7,6,10,8,7,9,6,7,9,6,6,7,4,5,9,7,12,5,7,9,9,19,13,12,8,12,15,9,13,8,11,7,10,13,8,16,8,6,6,13,7,6,11,13,8,9,10,9,5,8,10,5,9,5,3,6,3,7,8,7,8,5,10,7,5,9,1,5,4,3,3,7,1,0,5,2,3,4,4,3,6,1,1,2,6,10,0,1,0,0,0,1,0,0,0,0
"N00001916",267,4,2,0,0,4,2,3,4,2,3,6,5,1,6,0,1,1,1,1,3,1,4,4,2,2,4,5,5,4,7,6,3,5,3,1,3,4,2,5,2,3,8,2,5,6,8,4,2,6,5,7,3,2,3,1,3,1,2,2,3,2,2,2,1,4,4,2,3,2,0,2,2,4,2,2,4,1,3,5,3,4,1,2,1,0,2,1,1,0,1,3,1,0,0,0,0,1,1,1,0,0
"N00001917",312,7,2,0,0,3,2,2,5,4,0,3,4,4,4,2,2,4,1,6,4,2,2,5,7,9,4,6,12,3,2,6,5,9,2,7,2,4,3,7,2,2,3,1,2,3,3,3,7,6,2,4,6,4,3,3,2,2,2,2,1,2,3,2,2,3,3,8,2,4,0,3,0,0,0,4,3,2,2,1,3,4,0,2,1,3,4,3,6,3,6,6,0,1,2,2,1,0,0,1,0,1
"N00001918",249,4,2,0,0,4,3,2,1,4,3,2,2,2,1,4,2,2,2,3,5,2,6,2,4,5,4,3,2,1,4,2,3,3,2,5,3,3,1,2,8,1,2,2,6,3,6,2,5,5,4,5,3,3,2,4,5,5,2,3,4,3,1,2,3,2,0,0,1,4,0,2,0,2,2,1,3,2,4,2,2,2,2,2,3,5,1,1,5,3,0,1,1,0,0,1,1,0,0,0,0,0
"N00001919",324,3,4,0,0,7,6,6,6,4,3,2,8,4,8,5,2,1,6,4,4,5,5,6,7,4,4,4,4,7,5,8,5,2,0,5,10,3,5,5,3,6,4,5,6,5,4,6,8,6,1,2,3,2,0,4,5,0,4,1,3,3,1,5,4,3,2,2,1,7,5,3,2,4,1,1,2,0,3,0,10,1,0,0,1,0,0,0,1,0,0,6,0,1,0,0,0,0,0,0,0,0
"N00001920",327,2,1,0,0,3,4,2,1,1,1,2,5,4,4,7,5,4,6,6,3,3,4,8,3,7,4,4,6,5,4,5,4,3,5,1,4,4,3,1,1,3,7,3,6,7,5,3,5,5,4,4,6,4,6,4,7,3,2,5,4,2,4,4,3,6,5,4,4,10,2,1,2,1,4,4,4,1,6,10,2,2,2,2,1,1,0,0,1,0,1,3,0,0,1,0,0,0,1,0,0,0
"N00001921",272,1,3,0,0,3,2,6,1,4,8,6,6,0,5,5,1,4,4,3,6,3,0,3,4,4,4,6,1,4,4,2,3,5,4,1,4,2,7,5,4,0,7,4,5,5,7,8,3,2,2,1,3,5,0,1,0,2,4,4,2,5,2,3,5,2,4,2,2,3,2,3,2,6,4,4,2,3,0,2,3,2,2,0,0,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"N00001922",300,5,4,0,0,3,4,2,2,3,2,6,0,1,1,4,1,4,8,2,6,2,8,2,4,2,4,3,2,4,3,0,7,4,7,6,4,3,5,4,6,1,1,3,3,6,5,1,2,5,4,5,8,4,3,5,1,3,5,4,5,4,2,7,4,4,5,7,6,3,4,4,0,3,2,2,0,0,1,4,7,3,3,1,1,0,1,2,0,1,0,6,0,0,1,0,0,0,0,0,0,0
"N00001923",236,4,2,0,0,3,0,4,3,1,3,1,2,2,1,4,3,3,7,3,3,3,7,6,4,4,2,5,3,1,4,3,5,1,2,1,2,6,7,2,5,3,7,9,4,5,3,6,4,5,1,3,4,5,7,1,1,1,2,0,1,0,2,0,0,0,3,4,2,3,0,3,4,0,4,1,0,2,0,2,2,0,2,2,2,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"N00001924",367,8,5,0,0,9,6,7,9,5,8,7,3,4,8,4,3,6,5,5,9,5,11,6,9,13,10,3,8,9,10,0,7,5,5,3,10,1,7,6,11,5,5,7,4,5,4,5,2,5,1,3,6,1,4,3,2,2,6,2,2,3,2,2,2,3,2,1,1,8,2,3,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0
"N00001925",273,4,2,0,0,2,1,0,2,2,4,6,0,4,4,2,3,5,5,2,5,3,3,1,5,8,3,7,7,7,2,2,5,0,1,4,8,3,0,7,1,1,3,3,4,3,10,2,3,4,4,4,4,4,5,3,2,9,6,3,0,2,3,3,4,2,1,3,1,3,4,1,1,6,0,2,2,5,1,2,4,3,3,0,2,0,1,0,0,1,0,4,0,0,1,1,0,0,0,0,0,0
"N00001926",320,3,4,0,0,3,6,2,4,4,3,7,8,3,8,8,9,3,3,6,2,6,4,6,7,7,2,5,2,2,1,4,1,5,7,4,3,9,1,3,8,7,4,3,4,1,4,4,5,4,3,5,5,7,4,2,0,1,3,1,3,1,2,4,4,5,4,2,4,4,1,4,6,5,1,2,3,1,4,0,5,4,1,2,2,0,0,0,1,0,1,4,0,0,0,0,0,0,0,0,0,0
"N00001927",225,1,1,0,0,4,2,4,1,3,1,4,2,1,2,4,2,0,2,1,3,3,4,4,2,4,5,9,4,4,2,1,4,1,5,6,6,2,4,5,3,3,7,1,1,5,3,2,4,1,4,1,1,5,3,1,2,4,3,2,4,4,2,4,1,1,3,1,4,2,1,2,1,1,2,3,1,2,1,0,1,0,1,3,1,2,0,1,0,0,0,6,0,0,0,1,0,0,0,0,0,0
"N00001928",232,1,4,0,0,3,5,2,4,1,4,3,2,5,2,1,0,1,4,2,2,2,0,2,3,2,2,2,3,1,2,2,2,1,3,0,3,3,3,2,4,7,3,3,4,6,8,0,4,3,1,1,3,4,3,4,1,3,1,3,3,5,1,1,3,1,4,2,4,5,3,1,3,0,1,3,1,3,5,4,1,2,3,5,1,1,1,3,2,2,3,1,1,0,0,2,0,1,0,0,0,0
"N00001929",440,9,4,0,0,6,5,6,9,2,6,7,4,2,0,1,6,5,3,5,4,2,1,7,5,6,1,7,6,5,3,4,6,6,5,7,7,6,7,7,4,5,6,4,4,10,5,6,6,8,6,10,8,10,9,10,5,10,3,8,7,6,6,6,6,6,4,5,5,6,4,8,6,10,5,3,0,2,3,4,1,2,3,0,1,1,2,1,0,0,1,4,2,0,1,0,0,0,0,0,0,0
"N00001930",249,2,2,0,0,4,3,5,7,4,3,8,2,3,1,4,5,3,1,3,3,5,4,3,2,4,3,2,6,7,3,1,3,3,5,4,3,3,3,2,6,4,5,8,2,2,0,2,4,2,3,1,2,0,4,7,1,1,3,1,4,3,4,2,2,2,3,0,2,3,2,0,2,4,6,1,2,1,3,1,2,1,2,0,3,0,0,2,0,0,1,3,0,1,0,0,0,0,0,0,0,0
"N00001931",267,7,1,0,0,2,4,2,2,4,4,1,2,6,5,4,3,1,3,3,3,7,5,2,2,7,2,2,4,4,1,1,4,3,6,4,4,4,2,4,0,5,3,3,6,6,0,2,5,2,5,2,3,1,3,5,3,3,5,3,5,3,1,0,2,2,4,9,1,2,2,3,1,4,5,3,2,3,2,2,4,0,4,1,0,0,1,4,2,0,0,1,0,0,2,0,2,0,0,0,0,0
"N00001932",278,2,4,0,0,3,5,3,2,5,3,1,3,5,4,1,7,2,5,3,3,2,1,2,4,1,2,1,1,2,0,3,3,2,4,2,3,6,1,4,4,2,6,3,4,4,5,1,2,3,5,9,3,8,2,3,3,5,1,4,2,5,3,3,4,3,2,5,5,2,4,5,6,8,2,7,2,0,2,2,2,2,3,0,1,2,2,0,2,1,1,4,0,2,0,1,0,1,0,0,0,0
"N00001933",292,7,4,0,0,0,2,3,5,2,3,1,4,6,2,1,3,4,2,1,1,3,1,0,4,3,2,1,7,2,8,4,1,3,4,8,4,4,3,2,1,9,4,2,6,9,6,2,9,2,6,4,4,6,6,2,6,1,2,6,6,2,2,2,4,1,3,8,6,0,4,2,6,2,7,1,6,3,3,2,3,0,2,1,1,0,2,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0
"N00001934",265,6,3,0,0,0,1,0,0,2,3,0,3,4,5,3,2,2,5,5,8,2,3,3,8,1,6,4,3,7,5,3,3,4,0,1,3,1,1,1,7,3,1,2,1,2,5,4,6,1,5,3,4,3,8,4,4,7,3,1,1,1,4,4,3,6,4,3,1,1,0,1,0,6,3,1,5,3,2,5,3,2,1,2,8,1,2,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0
"N00001935",350,5,7,0,0,5,6,0,3,3,2,5,4,3,5,5,4,3,13,4,4,3,7,6,3,4,3,1,5,5,3,4,7,1,6,4,9,5,6,6,7,5,3,5,3,8,7,8,6,5,6,4,7,7,4,1,4,4,4,2,2,6,4,6,7,2,2,3,4,6,1,1,1,2,3,3,2,3,1,4,2,0,2,4,2,2,0,2,0,0,1,2,0,0,0,0,0,1,0,0,0,0
"N00001936",304,3,5,0,0,0,4,2,3,2,6,3,3,4,3,4,9,5,5,3,0,1,1,3,1,6,1,2,3,2,2,5,4,3,4,7,5,7,1,4,6,4,8,9,2,4,5,4,6,6,5,6,3,4,3,0,2,3,5,2,1,4,2,6,3,4,3,3,2,4,2,5,2,3,5,3,2,4,1,1,5,3,4,3,1,1,2,0,3,0,3,3,1,2,0,0,0,0,0,0,0,0
"N00001937",304,5,1,0,0,5,5,4,6,3,7,4,3,6,4,5,4,2,3,3,3,0,1,2,2,2,1,6,4,3,2,3,4,3,4,3,3,4,3,3,4,4,4,4,9,5,6,1,4,9,3,4,3,3,1,3,3,3,4,1,2,2,5,2,4,2,1,3,2,0,2,1,2,10,4,3,4,3,2,6,3,6,3,8,3,3,1,1,3,2,2,3,0,1,0,0,1,0,0,0,0,0
"N00001938",311,7,1,0,0,4,4,2,6,2,6,5,3,4,4,14,8,6,0,3,2,5,1,3,0,4,5,6,6,1,5,3,3,3,3,10,4,3,2,3,3,2,1,3,10,8,6,5,6,5,3,7,10,3,4,3,2,3,2,2,4,2,0,5,2,3,4,7,0,2,1,0,0,2,3,1,0,2,2,0,4,2,3,0,3,0,6,4,2,2,0,3,1,1,0,1,0,0,0,0,0,0
"N00001939",278,3,0,0,0,2,1,1,0,3,1,2,2,2,6,2,9,4,3,7,4,6,1,4,6,4,1,5,6,3,10,2,1,8,2,5,2,4,1,5,3,4,2,4,4,3,4,4,6,1,7,6,5,6,7,2,2,1,3,4,2,0,0,4,2,2,8,4,0,4,4,1,1,2,3,2,3,1,1,3,0,2,3,2,1,0,2,1,1,3,1,1,0,3,2,3,0,0,0,0,0,0
"N00001940",359,2,0,0,0,4,4,5,7,6,7,11,1,7,1,4,2,4,3,5,4,2,1,2,8,3,5,6,5,3,7,7,5,5,6,5,4,6,7,7,9,9,9,6,9,7,4,4,7,5,7,7,5,2,4,4,6,6,7,1,2,3,6,1,7,5,3,2,0,2,2,2,0,1,0,2,2,1,1,1,3,1,1,1,2,3,3,2,1,1,0,7,1,1,0,0,0,0,0,0,0,0
"N00001941",284,0,4,0,0,2,4,4,1,3,3,3,5,4,1,3,3,4,4,4,2,7,3,1,1,2,3,2,4,3,2,3,3,2,5,4,3,4,3,3,7,5,3,5,3,3,3,4,4,9,8,2,7,6,4,4,5,5,5,4,2,0,0,1,1,1,2,0,0,2,3,2,2,1,2,2,3,1,3,4,2,2,4,2,6,2,5,4,6,3,3,1,1,2,0,0,0,0,1,0,0,0
"N00001942",451,5,6,0,0,5,6,4,8,4,11,4,7,5,6,5,1,3,4,6,11,8,4,3,3,11,0,0,4,6,8,5,11,4,8,8,4,3,9,10,6,7,6,7,14,4,8,5,7,11,5,12,6,7,6,2,4,6,4,6,3,8,8,8,0,7,5,6,3,3,3,2,6,1,0,4,2,5,3,3,3,3,3,2,0,1,0,2,0,2,1,7,1,1,1,1,0,0,0,0,0,0
"N00001943",429,7,10,0,0,5,4,2,6,4,9,6,7,4,7,3,6,7,1,5,3,5,9,3,3,4,5,9,9,5,6,3,5,6,5,4,5,5,7,6,6,9,4,9,7,6,6,5,8,4,2,7,4,7,6,10,10,8,5,5,3,4,7,2,8,4,6,2,5,5,6,2,1,1,4,3,2,5,0,1,4,1,3,4,4,0,1,0,1,2,2,3,2,2,0,0,0,0,1,0,0,0
"N00001944",365,1,8,0,0,3,3,2,8,2,11,8,9,3,2,2,1,4,1,3,6,4,8,2,4,3,6,1,5,3,1,3,2,4,3,4,5,5,6,3,4,3,4,7,10,1,11,5,11,8,3,3,3,11,7,7,2,4,4,4,2,3,8,3,7,2,7,12,1,5,3,2,3,6,0,2,5,2,1,2,5,0,1,2,3,1,5,4,0,1,1,4,0,0,1,0,0,0,0,0,0,0
"N00001945",440,1,4,0,0,4,3,9,7,6,6,3,4,6,6,11,4,7,3,4,4,5,6,2,3,5,7,5,6,5,5,8,4,4,5,3,7,16,9,5,7,13,9,11,7,7,9,3,7,1,6,8,8,7,3,7,6,3,7,4,6,7,6,2,6,4,7,8,3,3,1,5,6,6,0,1,4,2,2,2,6,3,4,0,1,2,1,1,0,0,0,5,0,0,0,0,0,0,1,0,0,0
