"Geography_Code","NM_1544_1_0","NM_1544_1_1","NM_1544_1_10","NM_1544_1_11","NM_1544_1_12","NM_1544_1_13","NM_1544_1_14","NM_1544_1_15","NM_1544_1_16","NM_1544_1_17","NM_1544_1_18","NM_1544_1_19","NM_1544_1_2","NM_1544_1_20","NM_1544_1_21","NM_1544_1_22","NM_1544_1_23","NM_1544_1_24","NM_1544_1_25","NM_1544_1_26","NM_1544_1_27","NM_1544_1_28","NM_1544_1_29","NM_1544_1_3","NM_1544_1_30","NM_1544_1_31","NM_1544_1_32","NM_1544_1_33","NM_1544_1_34","NM_1544_1_35","NM_1544_1_36","NM_1544_1_37","NM_1544_1_38","NM_1544_1_39","NM_1544_1_4","NM_1544_1_40","NM_1544_1_41","NM_1544_1_42","NM_1544_1_43","NM_1544_1_44","NM_1544_1_45","NM_1544_1_46","NM_1544_1_47","NM_1544_1_48","NM_1544_1_49","NM_1544_1_5","NM_1544_1_50","NM_1544_1_51","NM_1544_1_52","NM_1544_1_53","NM_1544_1_54","NM_1544_1_55","NM_1544_1_6","NM_1544_1_7","NM_1544_1_8","NM_1544_1_9"
"N00002739",398,397,1,1,0,0,0,0,1,0,0,0,392,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,374,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,3,0,0,4
"N00002740",383,381,4,4,0,0,0,0,4,0,0,0,369,0,0,0,0,0,0,0,0,0,0,20,1,0,0,0,1,0,1,0,0,0,346,0,0,0,0,0,1,1,0,0,1,3,0,0,0,0,0,0,0,0,0,8
"N00002741",456,447,7,7,1,3,1,0,2,0,0,0,433,1,0,0,0,0,1,0,1,0,0,26,2,0,0,0,0,0,0,0,0,0,406,0,0,0,2,0,4,3,0,1,2,1,0,1,2,2,0,0,0,0,0,7
"N00002742",379,373,12,12,0,5,2,0,5,0,0,0,355,1,0,0,0,0,1,1,0,0,0,14,1,0,0,0,0,0,0,0,0,0,337,0,0,0,1,0,4,4,1,1,2,4,0,0,0,0,0,0,0,0,0,6
"N00002743",364,359,7,6,0,2,3,0,1,1,0,1,350,1,1,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,334,0,0,0,0,0,4,4,0,4,0,3,0,0,0,0,0,0,0,0,0,2
"N00002744",267,262,2,2,0,0,0,0,2,0,0,0,258,0,0,0,0,0,0,0,0,0,0,12,4,0,0,0,0,0,0,0,4,0,242,4,0,0,0,0,1,1,0,0,1,4,0,0,0,0,0,0,0,0,0,2
"N00002745",324,320,6,6,1,2,3,0,0,0,0,0,311,0,0,0,0,0,0,0,0,0,0,15,2,0,0,0,0,0,0,0,0,0,294,0,0,0,2,0,1,1,0,1,0,2,0,0,1,0,1,0,0,0,0,3
"N00002746",309,308,9,8,0,0,3,0,5,1,0,1,295,1,0,0,0,0,1,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3
"N00002747",262,262,18,18,1,4,11,0,2,0,0,0,236,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,223,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8
"N00002748",351,351,3,3,0,0,1,0,2,0,0,0,347,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,326,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1
"N00002749",334,323,23,23,0,6,3,0,14,0,0,0,294,1,1,0,0,0,0,0,0,0,0,15,10,1,0,1,4,4,0,0,3,0,277,3,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,6
"N00002750",261,256,2,2,1,1,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,11,5,0,0,0,0,0,0,0,2,0,236,2,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,4
"N00002751",301,296,11,11,0,1,3,0,7,0,0,0,279,0,0,0,0,0,0,0,0,0,0,19,2,0,0,0,1,0,1,0,0,0,256,0,0,0,1,0,1,1,0,0,1,4,0,0,2,2,0,0,0,0,0,6
"N00002752",283,273,3,3,1,0,0,0,2,0,0,0,264,0,0,0,0,0,0,0,0,0,0,10,5,0,0,0,0,0,0,0,4,0,253,4,0,0,1,0,2,1,0,0,1,1,0,1,3,2,1,0,0,0,0,6
"N00002753",524,511,2,2,1,0,0,0,1,0,0,0,501,4,0,0,0,0,4,0,4,0,0,14,2,0,0,0,2,0,2,0,0,0,479,0,0,0,0,0,6,3,0,0,3,7,0,3,1,1,0,0,1,0,0,8
"N00002754",410,399,1,0,0,0,0,0,0,1,0,1,391,2,0,1,1,0,1,0,0,0,1,19,3,0,0,0,2,0,2,0,0,0,368,0,0,0,1,0,4,4,0,3,1,4,0,0,2,0,2,0,0,0,0,7
"N00002755",589,580,2,2,0,0,0,0,2,0,0,0,569,0,0,0,0,0,0,0,0,0,0,17,7,0,0,0,2,0,2,0,4,0,544,4,0,0,1,0,0,0,0,0,0,7,0,0,2,1,1,0,1,0,0,9
"N00002756",315,307,0,0,0,0,0,0,0,0,0,0,304,1,0,0,0,0,1,0,1,0,0,17,3,0,0,0,0,0,0,0,3,0,284,3,0,0,0,0,4,4,1,2,1,3,0,0,0,0,0,0,0,0,0,3
"N00002757",483,475,8,8,2,4,0,0,2,0,0,0,458,1,0,0,0,0,1,0,1,0,0,26,3,0,0,0,0,0,0,0,2,0,426,1,1,0,1,0,4,4,0,1,3,6,0,0,0,0,0,0,0,0,0,9
"N00002758",254,250,5,4,2,1,1,0,0,1,0,1,242,1,0,0,0,0,1,0,1,0,0,7,2,0,0,0,0,0,0,0,2,0,232,2,0,0,0,0,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,3
"N00002759",337,321,2,0,0,0,0,0,0,2,0,2,318,0,0,0,0,0,0,0,0,0,0,20,14,0,0,0,7,2,5,0,3,0,291,3,0,0,4,0,0,0,0,0,0,2,0,0,2,0,2,0,5,0,1,0
"N00002760",306,303,0,0,0,0,0,0,0,0,0,0,299,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,283,0,0,0,0,0,3,3,0,2,1,4,0,0,0,0,0,0,2,0,0,4
"N00002761",941,923,4,3,3,0,0,0,0,1,0,1,904,3,0,0,0,0,3,0,3,0,0,29,6,0,0,0,5,2,3,0,0,0,855,0,0,0,1,0,8,8,0,4,4,18,0,0,1,1,0,0,2,0,2,13
"N00002762",364,362,1,1,0,0,0,0,1,0,0,0,357,1,0,0,0,0,1,0,0,0,1,9,1,0,0,0,0,0,0,0,1,0,338,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,2,0,0,4
