"Geography_Code","NM_1553_1_0","NM_1553_1_1","NM_1553_1_2","NM_1553_1_3","NM_1553_1_4","NM_1553_1_5","NM_1553_1_6","NM_1553_1_7","NM_1553_1_8"
"N00000168",145,35,55,24,27,4,0,0,0
"N00000169",279,62,108,43,41,17,8,0,0
"N00000170",139,22,51,28,30,6,2,0,0
"N00000171",146,23,51,20,32,17,3,0,0
"N00000172",307,67,121,50,46,12,8,3,0
"N00000173",144,33,53,23,18,11,5,0,1
"N00000174",163,47,55,27,18,13,3,0,0
"N00000175",140,28,46,27,26,10,3,0,0
"N00000176",205,57,71,42,27,7,1,0,0
"N00000177",167,69,61,22,11,2,2,0,0
"N00000178",355,165,119,35,25,8,2,1,0
"N00000179",492,257,160,41,19,14,1,0,0
"N00000180",131,46,46,23,9,5,2,0,0
"N00000181",168,86,63,15,3,1,0,0,0
"N00000182",105,29,42,22,11,1,0,0,0
"N00000183",146,65,43,17,15,5,1,0,0
"N00000184",184,99,54,20,8,2,1,0,0
"N00000185",121,63,40,8,6,4,0,0,0
"N00000186",137,41,56,21,12,7,0,0,0
"N00000187",126,46,51,15,9,4,1,0,0
"N00000188",128,27,44,18,25,8,4,2,0
"N00000189",125,19,45,24,30,3,3,1,0
"N00000190",119,15,58,21,17,6,2,0,0
"N00000191",124,27,52,19,21,3,1,0,1
"N00000192",120,25,44,26,16,8,0,1,0
"N00000193",111,33,30,16,18,10,3,0,1
"N00000194",119,40,44,15,18,2,0,0,0
"N00000195",123,55,33,18,15,1,1,0,0
"N00000196",116,46,37,22,6,3,2,0,0
"N00000197",115,13,37,33,24,7,0,0,1
"N00000198",110,25,36,17,22,9,1,0,0
"N00000199",130,20,50,26,22,10,1,0,1
"N00000200",124,22,39,28,29,5,1,0,0
"N00000201",143,52,55,15,19,1,1,0,0
"N00000202",132,27,67,18,12,7,1,0,0
"N00000203",134,26,50,36,16,2,3,0,1
"N00000204",152,36,62,24,24,5,1,0,0
"N00000205",118,27,36,24,24,6,1,0,0
"N00000206",212,99,69,28,12,3,1,0,0
