"Geography_Code","NM_1508_1_0","NM_1508_1_1","NM_1508_1_2","NM_1508_1_3","NM_1508_1_4","NM_1508_1_5","NM_1508_1_6"
"N00000293",162,0,37,104,19,2,310
"N00000294",140,5,49,57,19,10,261
"N00000295",144,11,59,52,19,3,232
"N00000296",114,13,51,40,10,0,161
"N00000297",128,11,56,45,11,5,200
"N00000298",119,10,51,42,15,1,184
"N00000299",147,23,75,44,3,2,181
"N00000300",133,55,57,18,2,1,105
"N00000301",124,2,41,67,11,3,220
"N00000302",127,7,44,60,15,1,213
"N00000303",110,4,37,55,10,4,197
"N00000304",117,4,54,50,8,1,182
"N00000305",121,1,25,74,14,7,245
"N00000306",128,3,46,66,9,4,221
"N00000307",122,7,48,48,17,2,204
"N00000308",110,7,48,42,11,2,173
"N00000309",124,6,41,55,17,5,222
"N00000310",149,17,49,61,12,10,251
"N00000311",160,56,65,32,7,0,150
"N00000312",175,14,64,64,17,16,312
"N00000313",193,17,78,72,20,6,311
"N00000314",137,41,62,26,7,1,140
"N00000315",133,35,67,18,13,0,142
"N00000316",130,20,67,33,8,2,165
"N00000317",213,73,104,27,8,1,186
"N00000318",129,10,56,37,19,7,216
"N00000319",310,31,159,93,23,4,431
"N00000320",128,13,60,42,8,5,189
"N00000321",211,41,89,67,13,1,266
"N00000322",154,22,80,38,9,5,204
"N00000323",163,14,40,68,33,8,311
"N00000324",151,14,52,55,18,12,265
"N00000325",198,17,81,77,17,6,311
"N00000326",377,54,160,137,20,6,520
"N00000327",130,34,61,34,1,0,132
"N00000328",126,36,71,17,2,0,111
"N00000329",137,41,61,29,3,3,141
"N00000330",203,10,85,91,14,3,322
"N00000331",233,71,74,66,19,3,276
"N00000332",124,49,61,13,1,0,90
"N00000333",125,54,57,13,1,0,86
"N00000334",116,49,50,15,2,0,86
"N00000335",136,21,71,34,8,2,171
"N00000336",131,9,53,55,11,3,208
"N00000337",120,10,52,42,11,5,191
"N00000338",129,19,50,50,9,1,182
"N00000339",122,13,52,41,14,2,184
"N00000340",138,6,46,60,20,6,251
"N00000341",130,4,49,57,18,2,225
"N00000342",133,2,56,55,14,6,234
"N00000343",122,6,43,59,9,5,208
"N00000344",128,45,50,25,6,2,126
"N00000345",163,67,68,20,7,1,133
"N00000346",209,22,95,72,15,5,304
"N00000347",130,51,52,21,4,2,117
"N00000348",125,19,61,31,10,4,171
"N00000349",149,32,67,38,9,3,183
"N00000350",169,12,62,75,9,11,291
"N00000351",137,10,53,49,19,6,239
"N00000352",142,6,40,54,29,13,292
"N00000353",140,7,53,52,21,7,251
"N00000354",133,9,32,61,19,12,267
"N00000355",154,11,57,58,19,9,268
"N00000356",146,44,71,23,8,0,141
"N00000357",452,146,207,81,16,2,427
"N00000358",140,50,67,20,3,0,116
"N00000359",389,194,153,33,8,1,249
"N00000360",130,15,37,47,18,13,237
"N00000361",148,28,61,44,10,5,205
"N00000362",126,10,40,46,19,11,236
"N00000363",150,11,46,60,19,14,283
"N00000364",150,15,48,54,21,12,269
"N00000365",86,20,34,23,7,2,110
"N00000366",187,29,82,64,9,3,250
"N00000367",143,37,63,31,9,3,164
"N00000368",170,10,58,65,25,12,319
"N00000369",141,11,46,56,22,6,249
"N00000370",172,16,59,68,18,11,297
"N00000371",141,8,53,56,13,11,263
"N00000372",135,9,54,57,12,3,218
"N00000373",178,10,83,65,13,7,283
"N00000374",132,10,50,59,7,6,216
"N00000375",134,19,56,45,12,2,191
"N00000376",116,19,53,35,7,2,153
"N00000377",119,14,65,33,6,1,153
"N00000378",118,32,61,22,3,0,114
"N00000379",164,9,70,61,19,5,272
"N00000380",168,6,53,71,20,18,337
"N00000381",333,54,170,84,17,8,435
"N00000382",183,9,75,69,21,9,314
"N00000383",144,9,53,56,18,8,255
"N00000384",145,11,50,54,24,6,254
"N00000385",135,3,38,63,15,16,286
"N00000386",125,51,55,14,5,0,98
"N00000387",106,45,46,10,4,1,82
"N00000388",603,166,276,130,25,6,652
"N00000389",156,27,57,57,9,6,227
"N00000390",321,13,88,153,37,30,641
"N00000391",173,5,49,71,32,16,370
"N00000392",518,22,215,206,49,26,892
"N00000393",178,7,68,75,19,9,312
"N00000394",141,5,47,55,21,13,277
"N00000395",142,5,44,55,22,16,294
"N00000396",134,1,49,57,19,8,258
"N00000397",189,10,66,71,30,12,349
"N00000398",165,15,49,77,18,6,285
"N00000399",130,16,55,39,16,4,199
"N00000400",112,47,42,14,7,2,100
"N00000401",117,30,51,21,10,5,144
"N00000402",123,47,49,18,8,1,113
"N00000403",208,47,89,56,10,6,255
"N00000404",121,36,66,17,1,1,107
"N00000405",105,39,46,16,3,1,91
"N00000406",121,5,36,54,14,12,240
"N00000407",344,26,121,133,39,25,615
"N00000408",146,8,56,57,15,10,262
"N00000409",143,8,65,51,11,8,234
"N00000410",136,4,40,50,27,15,289
"N00000411",128,20,48,43,11,6,191
"N00000412",138,6,46,55,13,18,282
"N00000413",131,3,34,57,20,17,283
"N00000414",125,7,31,64,17,6,237
"N00000415",162,18,63,60,18,3,249
